# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=31645
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	15.393615629873183;	0.9981486562774865;
-2212;	0.938;	-1;	9.440277859754659;	0.9950999011482525;
-2212;	0.938;	-1;	17.36460008887743;	0.9985442159904018;
-2212;	0.938;	-1;	7.889960345895346;	0.9930071863648086;
-2212;	0.938;	-1;	1.0125294693721265;	0.7335899133816025;
-2212;	0.938;	-1;	10.593791382857036;	0.9961030179575283;
-2212;	0.938;	-1;	2.864199412879278;	0.9503357452265192;
-2212;	0.938;	-1;	1.3476546875041842;	0.8207621121673627;
-2212;	0.938;	-1;	16.04808727617251;	0.998296202030193;
-2212;	0.938;	-1;	6.743733701720731;	0.990464829542475;
-2212;	0.938;	-1;	6.325779678158417;	0.98918424297261;
-2212;	0.938;	-1;	7.538595614155276;	0.9923477801905497;
-2212;	0.938;	-1;	6.480334402901751;	0.9896861397167578;
-2212;	0.938;	-1;	10.275972707622682;	0.9958597541108607;
-2212;	0.938;	-1;	2.427488214863257;	0.932784333916136;
-2212;	0.938;	-1;	5.686005664814274;	0.986664612225611;
-2212;	0.938;	-1;	4.5668346540651426;	0.979551436625538;
-2212;	0.938;	-1;	1.5158344632000553;	0.8503589593995062;
-2212;	0.938;	-1;	3.6615697637821953;	0.9687188402938816;
-2212;	0.938;	-1;	1.0104082645752657;	0.732878929095268;
-2212;	0.938;	-1;	12.248226192676961;	0.9970803950818996;
-2212;	0.938;	-1;	12.033448741841427;	0.9969757211536114;
-2212;	0.938;	-1;	11.126082119829423;	0.996465047496859;
-2212;	0.938;	-1;	2.8779148612926337;	0.9507736971725004;
-2212;	0.938;	-1;	6.647025879606683;	0.9901894555238289;
-2212;	0.938;	-1;	3.508835480256805;	0.9660763786892644;
-2212;	0.938;	-1;	13.791084932272586;	0.9976949773110184;
-2212;	0.938;	-1;	5.680181395505341;	0.9866377968494571;
-2212;	0.938;	-1;	4.414526017508336;	0.9781627602158713;
-2212;	0.938;	-1;	4.864897125720235;	0.9819148944062324;
-2212;	0.938;	-1;	4.00441660390385;	0.9736452106928773;
-2212;	0.938;	-1;	3.6859588301688886;	0.9691125122397631;
-2212;	0.938;	-1;	0.9067316566710848;	0.6950214324791216;
-2212;	0.938;	-1;	3.1973980845994134;	0.9595611542788953;
-2212;	0.938;	-1;	11.027643559937227;	0.9964019978392153;
-2212;	0.938;	-1;	1.5405627484659623;	0.8541330104759364;
-2212;	0.938;	-1;	20.801781946496913;	0.9989848904225722;
-2212;	0.938;	-1;	5.696513757012265;	0.9867127898679249;
-2212;	0.938;	-1;	4.056684509533864;	0.9742941743945722;
-2212;	0.938;	-1;	13.738513088519658;	0.9976773642724197;
-2212;	0.938;	-1;	3.5998044856327964;	0.9676881074544258;
-2212;	0.938;	-1;	7.255555570905649;	0.9917466226427465;
-2212;	0.938;	-1;	1.6772288438993648;	0.8727827652982725;
-2212;	0.938;	-1;	27.933606692765206;	0.9994366807882462;
-2212;	0.938;	-1;	2.5419085366568557;	0.9381625172827192;
-2212;	0.938;	-1;	3.1639475821329595;	0.9587540213084187;
-2212;	0.938;	-1;	18.249125282183197;	0.998681645870825;
-2212;	0.938;	-1;	1.9515993005012582;	0.9013009131686872;
-2212;	0.938;	-1;	8.378288921380069;	0.9937912288993412;
-2212;	0.938;	-1;	2.901860107444361;	0.9515248754358158;
-2212;	0.938;	-1;	4.2638375020190535;	0.976646593572061;
-2212;	0.938;	-1;	3.681342395644964;	0.9690385601769249;
-2212;	0.938;	-1;	1.5389608593598603;	0.8538925349880767;
-2212;	0.938;	-1;	5.575444016129477;	0.9861415369603698;
-2212;	0.938;	-1;	1.6664876304809466;	0.8714412799159015;
-2212;	0.938;	-1;	10.720121559806167;	0.9961938033253761;
-2212;	0.938;	-1;	3.2989190575999285;	0.9618734720891816;
-2212;	0.938;	-1;	10.93632194381644;	0.9963419888180023;
-2212;	0.938;	-1;	8.19985330715989;	0.9935207219787451;
-2212;	0.938;	-1;	2.8907579038120783;	0.9511786916255995;
-2212;	0.938;	-1;	33.303620233387555;	0.9996035992219812;
-2212;	0.938;	-1;	4.803720661568281;	0.9814641357812437;
-2212;	0.938;	-1;	1.035704421280512;	0.7412031119495626;
-2212;	0.938;	-1;	8.375176568755313;	0.9937866564068145;
-2212;	0.938;	-1;	7.704098892201486;	0.9926694588665335;
-2212;	0.938;	-1;	4.620865378519591;	0.9800126846013573;
-2212;	0.938;	-1;	8.40847770106052;	0.9938353206408583;
-2212;	0.938;	-1;	5.101333301522064;	0.9835121928228159;
-2212;	0.938;	-1;	2.0410796345868034;	0.9086419393309948;
-2212;	0.938;	-1;	3.3641054530286354;	0.963257075607579;
-2212;	0.938;	-1;	4.477361032966295;	0.9787521256995008;
-2212;	0.938;	-1;	0.9261153171376661;	0.7025843370982503;
-2212;	0.938;	-1;	19.379161537507887;	0.9988306529244083;
-2212;	0.938;	-1;	8.432357434519439;	0.9938698669725402;
-2212;	0.938;	-1;	22.670480590297792;	0.9991451359468269;
-2212;	0.938;	-1;	3.0496760710242654;	0.9558108817669334;
-2212;	0.938;	-1;	3.1964672239345737;	0.9595390084035659;
-2212;	0.938;	-1;	1.2332786242856884;	0.79594193967067;
-2212;	0.938;	-1;	17.9808002439231;	0.9986420857523403;
-2212;	0.938;	-1;	10.669745656457092;	0.9961579848457655;
-2212;	0.938;	-1;	5.5469062087518655;	0.9860015596754484;
-2212;	0.938;	-1;	15.388381676548578;	0.998147400189661;
-2212;	0.938;	-1;	5.117797464589723;	0.9836155173405234;
-2212;	0.938;	-1;	10.336796695100858;	0.9959080372177949;
-2212;	0.938;	-1;	11.79212336323162;	0.9968512610440227;
-2212;	0.938;	-1;	3.9579386092977744;	0.973047556221451;
-2212;	0.938;	-1;	4.785023164027335;	0.9813230358039358;
-2212;	0.938;	-1;	5.971083217318362;	0.9878850674845495;
-2212;	0.938;	-1;	2.289508678297813;	0.9253509729313607;
-2212;	0.938;	-1;	16.309118872802042;	0.9983501711951517;
-2212;	0.938;	-1;	32.123930489684476;	0.9995739694694021;
-2212;	0.938;	-1;	5.440253560669852;	0.9854593499624446;
-2212;	0.938;	-1;	5.363099089116665;	0.9850473765876002;
-2212;	0.938;	-1;	0.702017013573033;	0.5991896014338826;
-2212;	0.938;	-1;	0.8993397513848701;	0.6920750578395569;
-2212;	0.938;	-1;	11.053212991177633;	0.996418535905512;
-2212;	0.938;	-1;	3.896304748487854;	0.9722235969179458;
-2212;	0.938;	-1;	6.7947956687497975;	0.9906055965372297;
-2212;	0.938;	-1;	9.124010517425681;	0.9947570206656594;
-2212;	0.938;	-1;	3.721946718697757;	0.9696801748342686;
-2212;	0.938;	-1;	6.242446578342501;	0.9888983702696693;
-2212;	0.938;	-1;	0.789644371067185;	0.6440162669829189;
-2212;	0.938;	-1;	3.3275712554274315;	0.9624909067320818;
-2212;	0.938;	-1;	19.924209898609003;	0.9988936506708358;
-2212;	0.938;	-1;	3.4946239661378447;	0.9658139211098248;
-2212;	0.938;	-1;	9.64974940553282;	0.9953088511907536;
-2212;	0.938;	-1;	3.7705407743559807;	0.9704225463983113;
-2212;	0.938;	-1;	27.085466066917743;	0.999400881641162;
-2212;	0.938;	-1;	2.4614653959338146;	0.9344499810209586;
-2212;	0.938;	-1;	6.783301918333652;	0.990574182558571;
-2212;	0.938;	-1;	7.476217463934285;	0.9922210465640495;
-2212;	0.938;	-1;	14.733243034085232;	0.9979794891975017;
-2212;	0.938;	-1;	14.461151973517664;	0.9979029820778202;
-2212;	0.938;	-1;	10.96718679053056;	0.9963624372076104;
-2212;	0.938;	-1;	3.1125069697117147;	0.957465882584222;
-2212;	0.938;	-1;	3.9501771643656696;	0.972945801610959;
-2212;	0.938;	-1;	5.798451481691124;	0.9871669907621757;
-2212;	0.938;	-1;	7.706458429126832;	0.9926738978581068;
-2212;	0.938;	-1;	11.266369508287974;	0.9965520810186188;
-2212;	0.938;	-1;	6.496579705135466;	0.9897368663902383;
-2212;	0.938;	-1;	8.625714144466027;	0.9941392323814808;
-2212;	0.938;	-1;	10.241960493134359;	0.995832381970161;
-2212;	0.938;	-1;	7.835364400017653;	0.9929104340514248;
-2212;	0.938;	-1;	6.141785547202132;	0.9885377712339033;
-2212;	0.938;	-1;	5.205572771825403;	0.984150446892306;
-2212;	0.938;	-1;	6.077517618944432;	0.9882983312559334;
-2212;	0.938;	-1;	8.903163680106976;	0.9944958561114882;
-2212;	0.938;	-1;	5.429307887507302;	0.9854019408086105;
-2212;	0.938;	-1;	2.12307139655248;	0.914702740182388;
-2212;	0.938;	-1;	5.582177246490867;	0.9861742592721516;
-2212;	0.938;	-1;	6.379410139781734;	0.9893624513519205;
-2212;	0.938;	-1;	20.366327585789172;	0.9989410877192213;
-2212;	0.938;	-1;	2.985707620949439;	0.9540270937341726;
-2212;	0.938;	-1;	7.591068036848373;	0.9924520142225168;
-2212;	0.938;	-1;	14.004235497278671;	0.9977643768918724;
-2212;	0.938;	-1;	21.50264200061811;	0.9990498924933161;
-2212;	0.938;	-1;	3.293665637167349;	0.9617586442246199;
-2212;	0.938;	-1;	24.060066049035285;	0.9992409203731405;
-2212;	0.938;	-1;	5.718738039853286;	0.986813833559419;
-2212;	0.938;	-1;	16.81198969829865;	0.9984471662820894;
-2212;	0.938;	-1;	28.366030402155964;	0.9994537108637177;
-2212;	0.938;	-1;	5.548715272349447;	0.9860104954732499;
-2212;	0.938;	-1;	1.8266069626578127;	0.8895645165407706;
-2212;	0.938;	-1;	10.468057245773402;	0.9960094037199341;
-2212;	0.938;	-1;	2.326490075097893;	0.9274554136083593;
-2212;	0.938;	-1;	1.3517133071257528;	0.8215663408365322;
-2212;	0.938;	-1;	6.662525117420647;	0.9902343819029374;
-2212;	0.938;	-1;	6.133531875911708;	0.9885074319838218;
-2212;	0.938;	-1;	16.661102098522594;	0.9984189800999811;
-2212;	0.938;	-1;	1.3892775246485636;	0.8287829204363302;
-2212;	0.938;	-1;	7.567294212864265;	0.9924050531804501;
-2212;	0.938;	-1;	11.624507828165843;	0.996760246081462;
-2212;	0.938;	-1;	2.5597921796882055;	0.9389462998626491;
-2212;	0.938;	-1;	7.889772153101507;	0.9930068562563129;
-2212;	0.938;	-1;	8.258466014894594;	0.9936114898841791;
-2212;	0.938;	-1;	5.960291792887073;	0.9878419558496525;
-2212;	0.938;	-1;	5.7960626098943715;	0.9871566131864346;
-2212;	0.938;	-1;	15.581245533955268;	0.99819285564067;
-2212;	0.938;	-1;	1.968942784790155;	0.9027878543279187;
-2212;	0.938;	-1;	7.379988307000493;	0.9920192991848329;
-2212;	0.938;	-1;	9.24610504263521;	0.9948935213981327;
-2212;	0.938;	-1;	12.544885779429041;	0.9972162779154299;
