# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=105689682
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.9490489001371407;	2.957799787081168;	3025
2.957799787081168;	2.9665506740251946;	2993
2.9665506740251946;	2.9753015609692217;	2886
2.9753015609692217;	2.984052447913249;	2643
2.984052447913249;	2.992803334857276;	2584
2.992803334857276;	3.001554221801303;	2346
3.001554221801303;	3.0103051087453303;	2316
3.0103051087453303;	3.0190559956893575;	2174
3.0190559956893575;	3.0278068826333846;	1895
3.0278068826333846;	3.0365577695774117;	1740
3.0365577695774117;	3.045308656521439;	1734
3.045308656521439;	3.054059543465466;	1596
3.054059543465466;	3.062810430409493;	1472
3.062810430409493;	3.0715613173535203;	1331
3.0715613173535203;	3.0803122042975475;	1184
3.0803122042975475;	3.0890630912415746;	1024
3.0890630912415746;	3.097813978185602;	866
3.097813978185602;	3.106564865129629;	751
3.106564865129629;	3.115315752073656;	596
3.115315752073656;	3.124066639017683;	492
3.124066639017683;	3.13281752596171;	366
3.13281752596171;	3.141568412905737;	219
3.141568412905737;	3.150319299849764;	62
