# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63071405
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.415244796551486;	2.423995683495513;	12527
2.423995683495513;	2.4327465704395403;	12329
2.4327465704395403;	2.4414974573835675;	12042
2.4414974573835675;	2.4502483443275946;	11842
2.4502483443275946;	2.458999231271622;	11832
2.458999231271622;	2.467750118215649;	11565
2.467750118215649;	2.476501005159676;	11479
2.476501005159676;	2.485251892103703;	11335
2.485251892103703;	2.49400277904773;	11098
2.49400277904773;	2.502753665991757;	10793
2.502753665991757;	2.5115045529357842;	10616
2.5115045529357842;	2.5202554398798114;	10544
2.5202554398798114;	2.5290063268238385;	10465
2.5290063268238385;	2.5377572137678657;	10291
2.5377572137678657;	2.546508100711893;	10158
2.546508100711893;	2.55525898765592;	9862
2.55525898765592;	2.564009874599947;	9773
2.564009874599947;	2.5727607615439743;	9676
2.5727607615439743;	2.5815116484880014;	9518
2.5815116484880014;	2.5902625354320286;	9212
2.5902625354320286;	2.5990134223760557;	9190
2.5990134223760557;	2.607764309320083;	8968
2.607764309320083;	2.61651519626411;	8658
2.61651519626411;	2.625266083208137;	8664
2.625266083208137;	2.6340169701521643;	8488
2.6340169701521643;	2.642767857096191;	8316
2.642767857096191;	2.651518744040218;	8163
2.651518744040218;	2.6602696309842453;	8113
2.6602696309842453;	2.6690205179282724;	7889
2.6690205179282724;	2.6777714048722996;	7621
2.6777714048722996;	2.6865222918163267;	7558
2.6865222918163267;	2.695273178760354;	7353
2.695273178760354;	2.704024065704381;	7302
2.704024065704381;	2.712774952648408;	7191
2.712774952648408;	2.7215258395924353;	6904
2.7215258395924353;	2.7302767265364625;	6937
2.7302767265364625;	2.7390276134804896;	6621
2.7390276134804896;	2.7477785004245168;	6595
2.7477785004245168;	2.756529387368544;	6468
2.756529387368544;	2.765280274312571;	6262
2.765280274312571;	2.774031161256598;	6127
2.774031161256598;	2.7827820482006254;	5855
2.7827820482006254;	2.7915329351446525;	5949
2.7915329351446525;	2.800283822088679;	5560
2.800283822088679;	2.8090347090327064;	5459
2.8090347090327064;	2.8177855959767335;	5446
2.8177855959767335;	2.8265364829207607;	5232
2.8265364829207607;	2.835287369864788;	5090
2.835287369864788;	2.844038256808815;	5027
2.844038256808815;	2.852789143752842;	4699
2.852789143752842;	2.8615400306968692;	4622
2.8615400306968692;	2.8702909176408964;	4415
2.8702909176408964;	2.8790418045849235;	4457
2.8790418045849235;	2.8877926915289507;	4198
2.8877926915289507;	2.896543578472978;	4113
2.896543578472978;	2.905294465417005;	3980
2.905294465417005;	2.914045352361032;	3852
2.914045352361032;	2.9227962393050593;	3639
2.9227962393050593;	2.9315471262490864;	3456
2.9315471262490864;	2.9402980131931136;	3398
2.9402980131931136;	2.9490489001371407;	3279
2.9490489001371407;	2.957799787081168;	3143
2.957799787081168;	2.9665506740251946;	2968
2.9665506740251946;	2.9753015609692217;	2860
2.9753015609692217;	2.984052447913249;	2665
2.984052447913249;	2.992803334857276;	2556
2.992803334857276;	3.001554221801303;	2350
3.001554221801303;	3.0103051087453303;	2273
3.0103051087453303;	3.0190559956893575;	2179
3.0190559956893575;	3.0278068826333846;	2016
3.0278068826333846;	3.0365577695774117;	1848
3.0365577695774117;	3.045308656521439;	1770
3.045308656521439;	3.054059543465466;	1611
3.054059543465466;	3.062810430409493;	1443
3.062810430409493;	3.0715613173535203;	1320
3.0715613173535203;	3.0803122042975475;	1149
3.0803122042975475;	3.0890630912415746;	1003
3.0890630912415746;	3.097813978185602;	938
3.097813978185602;	3.106564865129629;	751
3.106564865129629;	3.115315752073656;	649
3.115315752073656;	3.124066639017683;	519
3.124066639017683;	3.13281752596171;	371
3.13281752596171;	3.141568412905737;	205
3.141568412905737;	3.150319299849764;	65
