# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=104629527
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.7239247279733432;	1.7326756149173703;	34167
1.7326756149173703;	1.7414265018613975;	33864
1.7414265018613975;	1.7501773888054246;	33069
1.7501773888054246;	1.7589282757494518;	33020
1.7589282757494518;	1.767679162693479;	32718
1.767679162693479;	1.776430049637506;	32238
1.776430049637506;	1.7851809365815332;	31976
1.7851809365815332;	1.7939318235255604;	31483
1.7939318235255604;	1.8026827104695873;	31363
1.8026827104695873;	1.8114335974136144;	31154
1.8114335974136144;	1.8201844843576416;	30618
1.8201844843576416;	1.8289353713016687;	30198
1.8289353713016687;	1.8376862582456959;	29622
1.8376862582456959;	1.846437145189723;	29459
1.846437145189723;	1.8551880321337502;	29494
1.8551880321337502;	1.8639389190777773;	28597
1.8639389190777773;	1.8726898060218045;	28611
1.8726898060218045;	1.8814406929658314;	28014
1.8814406929658314;	1.8901915799098585;	27534
1.8901915799098585;	1.8989424668538857;	27431
1.8989424668538857;	1.9076933537979128;	27122
1.9076933537979128;	1.91644424074194;	27206
1.91644424074194;	1.9251951276859671;	26521
1.9251951276859671;	1.9339460146299943;	26321
1.9339460146299943;	1.9426969015740214;	25867
1.9426969015740214;	1.9514477885180486;	25747
1.9514477885180486;	1.9601986754620757;	25251
1.9601986754620757;	1.9689495624061026;	24835
1.9689495624061026;	1.9777004493501298;	24679
1.9777004493501298;	1.986451336294157;	24725
1.986451336294157;	1.995202223238184;	24538
1.995202223238184;	2.003953110182211;	24110
2.003953110182211;	2.012703997126238;	24194
2.012703997126238;	2.0214548840702653;	23436
2.0214548840702653;	2.0302057710142924;	23190
2.0302057710142924;	2.0389566579583196;	22992
2.0389566579583196;	2.0477075449023467;	22707
2.0477075449023467;	2.056458431846374;	22539
2.056458431846374;	2.065209318790401;	22497
2.065209318790401;	2.073960205734428;	21943
2.073960205734428;	2.0827110926784553;	21772
2.0827110926784553;	2.0914619796224825;	21646
2.0914619796224825;	2.1002128665665096;	21011
2.1002128665665096;	2.1089637535105368;	21071
2.1089637535105368;	2.117714640454564;	20817
2.117714640454564;	2.126465527398591;	20502
2.126465527398591;	2.135216414342618;	20290
2.135216414342618;	2.1439673012866454;	20004
2.1439673012866454;	2.1527181882306725;	20246
2.1527181882306725;	2.161469075174699;	19626
2.161469075174699;	2.1702199621187264;	19446
2.1702199621187264;	2.1789708490627535;	19386
2.1789708490627535;	2.1877217360067807;	18966
2.1877217360067807;	2.196472622950808;	18631
2.196472622950808;	2.205223509894835;	18681
2.205223509894835;	2.213974396838862;	18415
2.213974396838862;	2.2227252837828892;	18144
2.2227252837828892;	2.2314761707269164;	17822
2.2314761707269164;	2.2402270576709435;	17516
2.2402270576709435;	2.2489779446149707;	17416
2.2489779446149707;	2.257728831558998;	17355
2.257728831558998;	2.266479718503025;	17340
2.266479718503025;	2.275230605447052;	16667
