# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=48365263
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.6189140846450178;	1.627664971589045;	18369
1.627664971589045;	1.6364158585330721;	18010
1.6364158585330721;	1.645166745477099;	17974
1.645166745477099;	1.6539176324211262;	17515
1.6539176324211262;	1.6626685193651534;	17321
1.6626685193651534;	1.6714194063091805;	17180
1.6714194063091805;	1.6801702932532077;	17073
1.6801702932532077;	1.6889211801972348;	16695
1.6889211801972348;	1.697672067141262;	16820
1.697672067141262;	1.706422954085289;	16365
1.706422954085289;	1.7151738410293162;	16164
1.7151738410293162;	1.7239247279733432;	15994
1.7239247279733432;	1.7326756149173703;	15927
1.7326756149173703;	1.7414265018613975;	15866
1.7414265018613975;	1.7501773888054246;	15333
1.7501773888054246;	1.7589282757494518;	15342
1.7589282757494518;	1.767679162693479;	15264
1.767679162693479;	1.776430049637506;	14755
1.776430049637506;	1.7851809365815332;	14996
1.7851809365815332;	1.7939318235255604;	14400
1.7939318235255604;	1.8026827104695873;	14368
1.8026827104695873;	1.8114335974136144;	14204
1.8114335974136144;	1.8201844843576416;	13897
1.8201844843576416;	1.8289353713016687;	13939
1.8289353713016687;	1.8376862582456959;	13572
1.8376862582456959;	1.846437145189723;	13771
1.846437145189723;	1.8551880321337502;	13430
1.8551880321337502;	1.8639389190777773;	13364
1.8639389190777773;	1.8726898060218045;	13023
1.8726898060218045;	1.8814406929658314;	12854
1.8814406929658314;	1.8901915799098585;	12680
1.8901915799098585;	1.8989424668538857;	12559
1.8989424668538857;	1.9076933537979128;	12558
1.9076933537979128;	1.91644424074194;	12519
1.91644424074194;	1.9251951276859671;	12027
1.9251951276859671;	1.9339460146299943;	11937
1.9339460146299943;	1.9426969015740214;	12094
1.9426969015740214;	1.9514477885180486;	12065
1.9514477885180486;	1.9601986754620757;	11777
1.9601986754620757;	1.9689495624061026;	11723
1.9689495624061026;	1.9777004493501298;	11412
1.9777004493501298;	1.986451336294157;	11482
1.986451336294157;	1.995202223238184;	11128
1.995202223238184;	2.003953110182211;	11183
2.003953110182211;	2.012703997126238;	11052
2.012703997126238;	2.0214548840702653;	10895
2.0214548840702653;	2.0302057710142924;	10685
2.0302057710142924;	2.0389566579583196;	10491
2.0389566579583196;	2.0477075449023467;	10616
2.0477075449023467;	2.056458431846374;	10253
2.056458431846374;	2.065209318790401;	10121
2.065209318790401;	2.073960205734428;	10082
2.073960205734428;	2.0827110926784553;	10114
2.0827110926784553;	2.0914619796224825;	9963
2.0914619796224825;	2.1002128665665096;	9653
2.1002128665665096;	2.1089637535105368;	10008
2.1089637535105368;	2.117714640454564;	9770
2.117714640454564;	2.126465527398591;	9495
2.126465527398591;	2.135216414342618;	9673
2.135216414342618;	2.1439673012866454;	9182
2.1439673012866454;	2.1527181882306725;	9273
2.1527181882306725;	2.161469075174699;	9036
2.161469075174699;	2.1702199621187264;	9006
2.1702199621187264;	2.1789708490627535;	8748
2.1789708490627535;	2.1877217360067807;	8768
2.1877217360067807;	2.196472622950808;	8575
2.196472622950808;	2.205223509894835;	8488
2.205223509894835;	2.213974396838862;	8451
2.213974396838862;	2.2227252837828892;	8404
2.2227252837828892;	2.2314761707269164;	8327
2.2314761707269164;	2.2402270576709435;	8118
2.2402270576709435;	2.2489779446149707;	8140
2.2489779446149707;	2.257728831558998;	7985
2.257728831558998;	2.266479718503025;	7825
2.266479718503025;	2.275230605447052;	7890
2.275230605447052;	2.2839814923910793;	7669
2.2839814923910793;	2.2927323793351064;	7750
2.2927323793351064;	2.3014832662791336;	7499
2.3014832662791336;	2.3102341532231607;	7353
2.3102341532231607;	2.318985040167188;	7234
2.318985040167188;	2.3277359271112146;	7359
2.3277359271112146;	2.3364868140552417;	7141
2.3364868140552417;	2.345237700999269;	6958
2.345237700999269;	2.353988587943296;	6839
2.353988587943296;	2.362739474887323;	6868
2.362739474887323;	2.3714903618313503;	6942
2.3714903618313503;	2.3802412487753775;	6721
2.3802412487753775;	2.3889921357194046;	6393
2.3889921357194046;	2.3977430226634318;	6391
2.3977430226634318;	2.406493909607459;	6560
2.406493909607459;	2.415244796551486;	6399
2.415244796551486;	2.423995683495513;	6228
2.423995683495513;	2.4327465704395403;	6235
2.4327465704395403;	2.4414974573835675;	6259
2.4414974573835675;	2.4502483443275946;	6067
2.4502483443275946;	2.458999231271622;	5800
2.458999231271622;	2.467750118215649;	5867
2.467750118215649;	2.476501005159676;	5705
2.476501005159676;	2.485251892103703;	5716
2.485251892103703;	2.49400277904773;	5571
2.49400277904773;	2.502753665991757;	5455
2.502753665991757;	2.5115045529357842;	5505
2.5115045529357842;	2.5202554398798114;	5607
2.5202554398798114;	2.5290063268238385;	5110
2.5290063268238385;	2.5377572137678657;	5126
2.5377572137678657;	2.546508100711893;	5036
2.546508100711893;	2.55525898765592;	4948
2.55525898765592;	2.564009874599947;	4920
2.564009874599947;	2.5727607615439743;	4874
2.5727607615439743;	2.5815116484880014;	4762
2.5815116484880014;	2.5902625354320286;	5006
2.5902625354320286;	2.5990134223760557;	4637
2.5990134223760557;	2.607764309320083;	4574
2.607764309320083;	2.61651519626411;	4408
2.61651519626411;	2.625266083208137;	4285
2.625266083208137;	2.6340169701521643;	4386
2.6340169701521643;	2.642767857096191;	4310
2.642767857096191;	2.651518744040218;	4170
2.651518744040218;	2.6602696309842453;	4082
2.6602696309842453;	2.6690205179282724;	4094
2.6690205179282724;	2.6777714048722996;	3868
2.6777714048722996;	2.6865222918163267;	3872
2.6865222918163267;	2.695273178760354;	3699
2.695273178760354;	2.704024065704381;	3681
2.704024065704381;	2.712774952648408;	3789
2.712774952648408;	2.7215258395924353;	3542
2.7215258395924353;	2.7302767265364625;	3608
2.7302767265364625;	2.7390276134804896;	3409
2.7390276134804896;	2.7477785004245168;	3351
2.7477785004245168;	2.756529387368544;	3191
2.756529387368544;	2.765280274312571;	3157
2.765280274312571;	2.774031161256598;	3136
2.774031161256598;	2.7827820482006254;	3009
2.7827820482006254;	2.7915329351446525;	3141
2.7915329351446525;	2.800283822088679;	3036
2.800283822088679;	2.8090347090327064;	2937
2.8090347090327064;	2.8177855959767335;	2795
2.8177855959767335;	2.8265364829207607;	2712
2.8265364829207607;	2.835287369864788;	2587
2.835287369864788;	2.844038256808815;	2441
2.844038256808815;	2.852789143752842;	2337
2.852789143752842;	2.8615400306968692;	2394
2.8615400306968692;	2.8702909176408964;	2264
2.8702909176408964;	2.8790418045849235;	2236
2.8790418045849235;	2.8877926915289507;	2251
2.8877926915289507;	2.896543578472978;	2103
2.896543578472978;	2.905294465417005;	2038
2.905294465417005;	2.914045352361032;	2065
2.914045352361032;	2.9227962393050593;	1972
2.9227962393050593;	2.9315471262490864;	1786
2.9315471262490864;	2.9402980131931136;	1716
2.9402980131931136;	2.9490489001371407;	1689
2.9490489001371407;	2.957799787081168;	1627
2.957799787081168;	2.9665506740251946;	1621
2.9665506740251946;	2.9753015609692217;	1437
2.9753015609692217;	2.984052447913249;	1357
2.984052447913249;	2.992803334857276;	1386
2.992803334857276;	3.001554221801303;	1332
3.001554221801303;	3.0103051087453303;	1201
3.0103051087453303;	3.0190559956893575;	1103
3.0190559956893575;	3.0278068826333846;	990
3.0278068826333846;	3.0365577695774117;	999
3.0365577695774117;	3.045308656521439;	863
3.045308656521439;	3.054059543465466;	806
3.054059543465466;	3.062810430409493;	749
3.062810430409493;	3.0715613173535203;	683
3.0715613173535203;	3.0803122042975475;	647
3.0803122042975475;	3.0890630912415746;	532
3.0890630912415746;	3.097813978185602;	440
3.097813978185602;	3.106564865129629;	395
3.106564865129629;	3.115315752073656;	316
3.115315752073656;	3.124066639017683;	263
3.124066639017683;	3.13281752596171;	184
3.13281752596171;	3.141568412905737;	119
3.141568412905737;	3.150319299849764;	38
