# hega-rs ver.0.2.9 statistics: 
#UrQmdF19 in Lab: false
FinEnergy;	ECharge;	BCharge;	LCharge;	FinCnt;	FinChargedCnt;	PseudorapidityFilterCnt(-0.5, 0.5);	PseudorapidityFilterCnt(-1.0, 1.0);	PseudorapidityFilterCnt(-1.5, 1.5);	PseudorapidityFilterCnt(3.5, 5.8);	PseudorapidityFilterCnt(-5.8, -3.5);	PseudorapidityFilterCnt(4.4, 5.8);	PseudorapidityFilterCnt(-5.8, -4.4)
6951.055136788735;	170;	405;	0;	1461;	856;	38;	95;	182;	172;	0;	51;	0
6918.840214373998;	172;	408;	0;	1645;	962;	37;	98;	193;	186;	0;	48;	0
6986.853397093349;	172;	407;	0;	1322;	757;	37;	85;	147;	153;	0;	46;	0
6931.901750161974;	170;	407;	0;	1337;	738;	33;	70;	133;	137;	0;	40;	0
6885.755241862236;	171;	407;	0;	1297;	738;	34;	74;	152;	152;	0;	51;	0
6990.475744012521;	172;	408;	0;	1294;	752;	46;	108;	165;	147;	0;	59;	0
6938.081405000803;	172;	408;	0;	1532;	880;	37;	100;	178;	132;	0;	37;	0
6914.075200374572;	172;	408;	0;	1589;	932;	24;	86;	185;	166;	0;	41;	0
6939.306740204078;	170;	407;	0;	1243;	704;	32;	87;	169;	96;	1;	32;	0
6932.628859366491;	172;	408;	0;	1587;	950;	41;	93;	190;	163;	0;	53;	0
6937.48949740588;	170;	407;	0;	1340;	772;	47;	102;	174;	168;	0;	52;	0
6932.968617555138;	170;	407;	0;	1367;	806;	44;	95;	192;	167;	0;	47;	0
6958.145773207425;	172;	408;	0;	1535;	890;	39;	122;	213;	147;	0;	44;	0
7003.342060665702;	172;	408;	0;	1604;	944;	39;	94;	192;	162;	0;	49;	0
6947.136633258735;	172;	407;	0;	1410;	797;	38;	93;	167;	147;	0;	57;	0
6899.102953415614;	172;	408;	0;	1538;	906;	43;	98;	205;	170;	0;	49;	0
6880.73125193746;	172;	405;	0;	1255;	725;	27;	77;	156;	143;	0;	48;	0
6937.753542569067;	170;	406;	0;	1393;	805;	33;	94;	165;	160;	0;	59;	0
6905.198454339107;	172;	408;	0;	1578;	908;	42;	95;	179;	157;	0;	38;	0
6950.815003335634;	172;	406;	0;	1466;	832;	27;	84;	168;	141;	1;	33;	0
6955.9751877943845;	172;	406;	0;	1195;	692;	38;	85;	145;	131;	0;	47;	0
6878.205615721862;	172;	406;	0;	1375;	774;	46;	94;	188;	149;	0;	52;	0
6957.93624402218;	169;	407;	0;	1562;	903;	46;	92;	183;	164;	0;	50;	0
6977.228204495863;	172;	408;	0;	1501;	886;	36;	95;	189;	132;	0;	29;	0
6942.987463104891;	172;	407;	0;	1488;	865;	30;	88;	178;	151;	0;	36;	0
6896.53984788215;	172;	407;	0;	1564;	911;	44;	79;	174;	155;	0;	41;	0
6915.1997756581995;	172;	406;	0;	1371;	830;	34;	96;	173;	154;	0;	51;	0
6934.70663870326;	172;	407;	0;	1258;	735;	45;	111;	179;	136;	0;	39;	0
6915.973078242769;	172;	407;	0;	1310;	769;	44;	77;	156;	128;	0;	44;	0
6887.673395832108;	172;	408;	0;	1226;	678;	38;	89;	155;	119;	0;	40;	0
6896.209264055814;	172;	407;	0;	1386;	831;	45;	99;	162;	163;	0;	47;	0
6946.579403784132;	172;	408;	0;	1677;	982;	30;	89;	184;	164;	0;	46;	0
6884.932395681197;	170;	405;	0;	1513;	876;	40;	101;	191;	157;	0;	34;	0
6924.858325365065;	172;	408;	0;	1587;	938;	31;	82;	165;	156;	0;	33;	0
6965.27486686373;	172;	408;	0;	1490;	862;	37;	93;	188;	165;	0;	53;	0
6919.619604199024;	172;	408;	0;	1573;	916;	38;	92;	185;	171;	0;	40;	0
6881.872291437464;	172;	408;	0;	1509;	896;	47;	97;	189;	149;	0;	41;	0
6934.160869946556;	172;	408;	0;	1552;	922;	40;	108;	188;	155;	0;	46;	0
6979.557007024413;	169;	407;	0;	1584;	955;	41;	102;	207;	162;	0;	42;	0
6931.533651826202;	172;	406;	0;	1356;	776;	38;	91;	164;	169;	0;	47;	0
6975.886973707638;	172;	408;	0;	1666;	960;	32;	79;	172;	175;	0;	45;	0
6963.020198606525;	172;	405;	0;	1161;	659;	45;	92;	154;	135;	0;	44;	0
6993.39549653393;	171;	406;	0;	1508;	877;	40;	94;	180;	148;	0;	40;	0
7003.930180956668;	172;	407;	0;	1376;	803;	44;	100;	174;	137;	0;	46;	0
6939.616918042932;	172;	406;	0;	1407;	798;	45;	82;	163;	163;	0;	49;	0
6943.499018737744;	170;	407;	0;	1446;	854;	34;	87;	159;	171;	0;	47;	0
6923.958196818657;	172;	406;	0;	1229;	714;	34;	88;	155;	130;	0;	35;	0
6887.052331219821;	172;	404;	0;	1337;	754;	34;	80;	152;	158;	0;	52;	0
6885.502400533542;	172;	408;	0;	1445;	850;	42;	93;	168;	160;	0;	54;	0
6886.760764391132;	172;	408;	0;	1627;	946;	28;	94;	198;	152;	0;	37;	0
6944.337090469034;	172;	407;	0;	1482;	841;	30;	84;	157;	142;	0;	40;	0
6982.29805727841;	172;	406;	0;	1300;	742;	38;	84;	162;	135;	0;	47;	0
6911.100454530991;	172;	408;	0;	1396;	786;	33;	85;	159;	136;	0;	28;	0
6923.944879448614;	172;	407;	0;	1344;	773;	35;	88;	177;	141;	0;	45;	0
6894.96271076013;	172;	408;	0;	1388;	796;	34;	108;	195;	136;	0;	32;	0
6917.390948631541;	172;	408;	0;	1429;	814;	33;	87;	171;	149;	1;	50;	0
6887.318714632388;	172;	405;	0;	1211;	679;	41;	94;	170;	136;	0;	46;	0
6891.66819240124;	172;	406;	0;	1585;	946;	32;	102;	176;	151;	0;	43;	0
6961.913291709362;	172;	408;	0;	1566;	940;	38;	93;	190;	180;	0;	50;	0
6964.250987824558;	172;	408;	0;	1550;	932;	43;	104;	177;	174;	0;	46;	0
6926.835882902163;	172;	407;	0;	1579;	919;	32;	69;	150;	165;	0;	38;	0
6927.290780145183;	172;	407;	0;	1304;	743;	33;	85;	155;	140;	0;	42;	0
6993.197430176541;	172;	408;	0;	1273;	756;	45;	90;	153;	130;	0;	49;	0
6911.45090589674;	172;	407;	0;	1571;	945;	38;	117;	220;	168;	0;	48;	0
6938.7455135071605;	170;	406;	0;	1610;	977;	32;	89;	180;	161;	0;	38;	0
6958.246306707325;	172;	408;	0;	1322;	750;	33;	80;	151;	150;	0;	58;	0
7018.367982593356;	172;	408;	0;	1535;	928;	42;	107;	192;	179;	0;	47;	0
6905.076630304152;	172;	406;	0;	1390;	850;	42;	108;	199;	134;	0;	56;	0
6961.242228515167;	172;	407;	0;	1401;	821;	38;	106;	184;	147;	0;	38;	0
6877.0401997752;	172;	406;	0;	1188;	670;	35;	96;	145;	127;	0;	34;	0
6936.6248475269995;	172;	408;	0;	1649;	968;	35;	98;	197;	175;	0;	46;	0
6976.197178877926;	170;	406;	0;	1668;	993;	41;	90;	192;	164;	0;	38;	0
6891.727700990949;	172;	407;	0;	1290;	771;	43;	89;	159;	121;	0;	33;	0
6915.981720471233;	172;	406;	0;	1253;	710;	40;	81;	148;	129;	0;	38;	0
6996.129191724874;	168;	406;	0;	1379;	798;	43;	105;	186;	136;	0;	42;	0
6985.8554920306415;	172;	407;	0;	1439;	847;	42;	107;	203;	160;	0;	46;	0
6911.699983566378;	172;	407;	0;	1316;	777;	41;	80;	168;	142;	0;	37;	0
6964.879923501764;	169;	407;	0;	1479;	863;	45;	89;	170;	159;	0;	42;	0
6877.563490064572;	171;	408;	0;	1280;	695;	37;	98;	174;	121;	0;	49;	0
6914.760213795563;	172;	404;	0;	1277;	726;	29;	84;	171;	125;	0;	40;	0
7013.2128075999035;	171;	406;	0;	1393;	805;	42;	99;	169;	142;	0;	44;	0
6964.375703127032;	170;	405;	0;	1308;	746;	46;	104;	185;	134;	0;	47;	0
6965.290375073962;	172;	408;	0;	1494;	872;	44;	96;	170;	161;	0;	47;	0
6949.03293709909;	171;	408;	0;	1495;	863;	42;	100;	174;	148;	0;	43;	0
6932.447167992348;	172;	406;	0;	1199;	684;	45;	91;	158;	133;	0;	63;	0
6917.440895476304;	172;	408;	0;	1714;	1034;	32;	101;	189;	190;	0;	43;	0
6921.863476675142;	172;	405;	0;	1285;	739;	38;	93;	169;	150;	0;	50;	0
6942.922097417101;	172;	407;	0;	1466;	835;	39;	101;	182;	144;	0;	40;	0
6927.610847870916;	172;	408;	0;	1491;	874;	52;	109;	196;	173;	0;	57;	0
6939.146955656498;	172;	408;	0;	1592;	956;	38;	99;	196;	177;	0;	44;	0
6941.274878407278;	168;	406;	0;	1325;	746;	37;	91;	160;	146;	0;	47;	0
6900.404059415224;	170;	405;	0;	1471;	858;	43;	97;	184;	152;	0;	48;	0
6975.865661891624;	172;	405;	0;	1333;	775;	36;	86;	163;	176;	0;	45;	0
6915.501806343787;	172;	407;	0;	1323;	759;	39;	84;	166;	144;	0;	49;	0
6892.679052939025;	172;	407;	0;	1184;	683;	48;	110;	174;	140;	0;	43;	0
6910.000281223632;	170;	407;	0;	1575;	916;	40;	98;	194;	166;	0;	46;	0
6916.928587151818;	170;	407;	0;	1605;	950;	32;	92;	186;	145;	0;	44;	0
6991.455343479613;	170;	407;	0;	1536;	910;	40;	92;	186;	168;	0;	46;	0
6907.048978923371;	170;	405;	0;	1229;	704;	35;	87;	151;	166;	0;	55;	0
6964.907412053626;	172;	405;	0;	1294;	757;	44;	91;	169;	149;	0;	44;	0
6964.650571933087;	172;	406;	0;	1338;	798;	40;	92;	167;	168;	0;	50;	0
7018.33414987648;	172;	408;	0;	1362;	800;	41;	97;	172;	167;	0;	54;	0
6981.876237342701;	172;	408;	0;	1489;	860;	37;	91;	180;	166;	0;	54;	0
6994.75323334931;	170;	406;	0;	1186;	663;	38;	93;	149;	154;	0;	53;	0
6947.299870958333;	169;	407;	0;	1537;	863;	45;	87;	178;	152;	0;	39;	0
6980.478795416292;	172;	408;	0;	1516;	890;	43;	101;	189;	159;	0;	48;	0
6962.17795360701;	172;	407;	0;	1539;	909;	31;	88;	178;	153;	0;	42;	0
6909.03132907884;	172;	407;	0;	1402;	797;	37;	87;	168;	142;	0;	43;	0
6930.472165768253;	170;	407;	0;	1420;	844;	35;	92;	189;	160;	0;	52;	0
6911.166354445678;	168;	406;	0;	1399;	818;	39;	98;	175;	153;	0;	38;	0
6925.244721820912;	170;	406;	0;	1399;	819;	36;	89;	158;	160;	0;	51;	0
6953.006328902963;	172;	404;	0;	1267;	696;	40;	75;	150;	147;	0;	55;	0
6972.695555131916;	168;	405;	0;	1393;	793;	42;	95;	166;	161;	1;	46;	0
6915.762299908522;	172;	404;	0;	1313;	766;	35;	81;	159;	164;	0;	61;	0
6944.7589407079895;	171;	407;	0;	1494;	870;	48;	98;	187;	148;	0;	28;	0
6894.539801617945;	172;	407;	0;	1491;	879;	40;	103;	188;	142;	0;	39;	0
6926.655799004611;	172;	408;	0;	1637;	976;	36;	98;	200;	162;	0;	43;	0
6960.528748512208;	170;	405;	0;	1415;	828;	52;	97;	156;	154;	0;	45;	0
6953.844445458544;	172;	407;	0;	1547;	873;	30;	96;	174;	138;	0;	45;	0
6908.8572333266775;	172;	407;	0;	1257;	735;	41;	99;	168;	133;	0;	33;	0
6902.530587904425;	171;	406;	0;	1361;	791;	41;	85;	163;	144;	0;	44;	0
6896.602634160517;	172;	408;	0;	1519;	874;	31;	91;	174;	161;	0;	49;	0
6992.52163159585;	171;	408;	0;	1560;	899;	36;	92;	185;	161;	0;	43;	0
6977.357049398084;	170;	406;	0;	1332;	769;	41;	99;	182;	142;	0;	49;	0
6940.032024472056;	168;	405;	0;	1250;	714;	38;	86;	157;	139;	0;	47;	0
6956.054264432743;	172;	407;	0;	1257;	751;	44;	105;	186;	137;	0;	45;	0
6874.823265470262;	172;	407;	0;	1259;	735;	41;	77;	148;	146;	0;	45;	0
7007.42793933733;	172;	407;	0;	1584;	903;	43;	87;	174;	145;	0;	35;	0
6930.123209718368;	172;	405;	0;	1308;	765;	50;	92;	158;	150;	0;	51;	0
6905.386768365345;	172;	408;	0;	1361;	770;	38;	92;	164;	146;	0;	50;	0
6897.043612521172;	172;	408;	0;	1566;	892;	27;	80;	177;	148;	0;	36;	0
6912.2081723593365;	172;	408;	0;	1448;	828;	30;	89;	164;	145;	0;	48;	0
6911.59944104153;	170;	406;	0;	1215;	687;	38;	81;	156;	129;	0;	30;	0
6925.829789565777;	172;	408;	0;	1584;	938;	42;	93;	175;	173;	0;	42;	0
6924.362578285438;	170;	405;	0;	1215;	714;	43;	90;	166;	123;	0;	30;	0
6896.548537859216;	172;	407;	0;	1353;	777;	39;	101;	182;	138;	0;	37;	0
6942.870466457158;	172;	407;	0;	1302;	735;	39;	92;	167;	157;	0;	53;	0
6938.484442357309;	172;	407;	0;	1639;	979;	43;	87;	199;	164;	0;	46;	0
6909.83887344028;	172;	405;	0;	1300;	771;	34;	100;	173;	152;	0;	45;	0
6950.392451673825;	170;	407;	0;	1595;	948;	40;	95;	190;	165;	0;	45;	0
6867.637733912985;	172;	408;	0;	1383;	814;	37;	105;	186;	146;	0;	35;	0
6906.882659335821;	172;	407;	0;	1298;	783;	43;	100;	177;	149;	0;	54;	0
6881.916233463198;	172;	406;	0;	1463;	820;	36;	83;	178;	151;	0;	47;	0
6893.179263724471;	170;	404;	0;	1329;	765;	53;	109;	180;	145;	0;	43;	0
6972.058767473838;	172;	406;	0;	1502;	882;	39;	96;	189;	157;	0;	56;	0
6907.226856827215;	172;	407;	0;	1235;	721;	37;	97;	176;	123;	0;	42;	0
7011.645747607223;	172;	408;	0;	1348;	794;	44;	102;	176;	141;	0;	37;	0
6975.192052815903;	168;	406;	0;	1527;	910;	48;	103;	184;	154;	0;	37;	0
6959.962680026122;	172;	408;	0;	1529;	900;	40;	91;	188;	144;	0;	49;	0
6959.913229895331;	170;	406;	0;	1222;	685;	45;	102;	173;	128;	0;	31;	0
6956.750693364021;	172;	408;	0;	1395;	786;	36;	83;	152;	141;	0;	54;	0
6985.285281430489;	168;	406;	0;	1265;	744;	38;	90;	173;	155;	0;	62;	0
6987.1551036975925;	172;	408;	0;	1590;	900;	39;	95;	183;	146;	0;	35;	0
6909.815182255574;	172;	408;	0;	1605;	952;	41;	98;	203;	143;	0;	33;	0
6931.812293344024;	172;	408;	0;	1583;	920;	42;	92;	192;	167;	0;	45;	0
6928.778334775189;	171;	408;	0;	1538;	897;	39;	94;	184;	155;	0;	32;	0
6887.7404823767165;	172;	407;	0;	1289;	757;	44;	89;	155;	153;	0;	39;	0
6875.774596762755;	171;	407;	0;	1476;	886;	30;	86;	177;	148;	0;	42;	0
7020.634336841035;	169;	407;	0;	1542;	905;	31;	87;	176;	166;	0;	51;	0
6915.713902799787;	172;	408;	0;	1504;	902;	33;	109;	195;	170;	0;	44;	0
6912.986121493555;	172;	408;	0;	1369;	804;	33;	94;	168;	162;	0;	56;	0
6910.432706605098;	172;	408;	0;	1413;	804;	43;	110;	201;	139;	0;	46;	0
6924.03777619732;	172;	408;	0;	1394;	820;	39;	104;	191;	156;	0;	47;	0
6904.719120320074;	172;	408;	0;	1258;	738;	35;	82;	148;	136;	0;	46;	0
6942.462440473043;	168;	406;	0;	1125;	636;	36;	78;	142;	133;	0;	47;	0
6924.0007347640485;	171;	407;	0;	1470;	826;	36;	85;	177;	166;	0;	53;	0
6975.506388869687;	172;	408;	0;	1471;	870;	44;	90;	177;	138;	0;	37;	0
6919.477810780309;	170;	407;	0;	1306;	750;	41;	82;	154;	153;	0;	53;	0
6958.303028413236;	172;	408;	0;	1594;	902;	35;	90;	180;	168;	0;	41;	0
6989.706183398446;	172;	408;	0;	1520;	882;	41;	96;	192;	148;	0;	46;	0
6975.996526745562;	171;	408;	0;	1535;	893;	31;	94;	165;	162;	0;	45;	0
6889.388136021531;	172;	405;	0;	1200;	673;	33;	71;	156;	134;	0;	42;	0
6943.841355932559;	172;	406;	0;	1356;	790;	38;	104;	184;	146;	0;	46;	0
6889.755756821249;	171;	408;	0;	1514;	919;	43;	99;	189;	152;	0;	38;	0
6922.579930214493;	172;	408;	0;	1288;	740;	38;	92;	155;	134;	0;	38;	0
6889.674168909234;	172;	406;	0;	1114;	654;	36;	99;	163;	112;	0;	32;	0
6899.358507340369;	172;	407;	0;	1327;	771;	37;	78;	158;	146;	0;	48;	0
6915.64942205668;	172;	407;	0;	1325;	763;	38;	89;	163;	149;	0;	44;	0
6958.740289568128;	170;	407;	0;	1254;	720;	37;	85;	158;	137;	0;	43;	0
6903.056199513045;	172;	408;	0;	1586;	944;	35;	99;	187;	155;	0;	41;	0
6917.123256103974;	171;	408;	0;	1384;	773;	40;	85;	159;	146;	0;	42;	0
6963.656465010377;	172;	408;	0;	1411;	806;	36;	103;	202;	136;	0;	40;	0
6905.365439281516;	170;	405;	0;	1339;	766;	39;	87;	164;	140;	0;	32;	0
6970.000481472063;	172;	406;	0;	1286;	732;	35;	80;	153;	131;	0;	50;	0
7021.577872097715;	172;	408;	0;	1499;	880;	40;	118;	209;	153;	0;	44;	0
6903.731040911726;	172;	407;	0;	1285;	765;	43;	106;	179;	136;	0;	42;	0
6966.13680223904;	172;	408;	0;	1656;	976;	36;	90;	216;	173;	0;	38;	0
6922.459161841313;	169;	406;	0;	1186;	692;	31;	81;	137;	154;	0;	58;	0
6928.129035598706;	172;	408;	0;	1518;	892;	38;	97;	182;	157;	0;	38;	0
6922.497559915338;	172;	408;	0;	1519;	932;	31;	97;	178;	165;	0;	46;	0
6922.287388952298;	172;	407;	0;	1305;	753;	33;	77;	161;	152;	0;	49;	0
6917.529802096676;	172;	406;	0;	1431;	804;	31;	81;	148;	163;	0;	45;	0
6954.797423012358;	172;	408;	0;	1431;	836;	33;	88;	153;	160;	0;	50;	0
6961.808277902541;	172;	405;	0;	1280;	725;	52;	90;	164;	127;	0;	42;	0
6905.3267723456465;	169;	405;	0;	1417;	817;	35;	91;	168;	158;	0;	40;	0
6960.74366552988;	171;	407;	0;	1472;	876;	40;	91;	171;	156;	0;	46;	0
6904.517297245522;	170;	405;	0;	1240;	674;	36;	82;	150;	118;	0;	42;	0
6902.973966284697;	172;	407;	0;	1185;	673;	40;	98;	183;	114;	0;	42;	0
6896.391321473627;	172;	406;	0;	1256;	730;	27;	89;	143;	134;	0;	42;	0
6966.451457975465;	172;	408;	0;	1560;	952;	50;	122;	226;	155;	0;	47;	0
6962.874234645346;	171;	408;	0;	1489;	883;	49;	105;	184;	156;	0;	51;	0
6894.495440771562;	171;	408;	0;	1554;	887;	42;	107;	204;	149;	0;	44;	0
6900.0838932186425;	172;	408;	0;	1456;	866;	37;	88;	176;	171;	0;	50;	0
6917.922076920088;	170;	404;	0;	1339;	779;	28;	80;	166;	145;	0;	55;	0
6949.33949795762;	172;	407;	0;	1228;	695;	41;	91;	151;	135;	0;	46;	0
6879.161249494304;	170;	407;	0;	1448;	826;	33;	94;	161;	166;	0;	38;	0
6913.339157685911;	169;	407;	0;	1457;	855;	41;	104;	184;	155;	0;	49;	0
6936.483188023975;	170;	407;	0;	1197;	670;	37;	95;	159;	98;	0;	36;	0
6949.121462949549;	172;	408;	0;	1343;	758;	38;	82;	148;	140;	0;	29;	0
7028.508897035353;	169;	405;	0;	1196;	687;	42;	86;	145;	138;	0;	53;	0
6875.830621658265;	172;	408;	0;	1466;	860;	44;	96;	186;	138;	0;	44;	0
6921.964743727853;	172;	407;	0;	1655;	969;	31;	81;	169;	177;	0;	45;	0
6987.328376018745;	172;	407;	0;	1281;	723;	37;	79;	135;	137;	0;	44;	0
6915.148467112084;	172;	407;	0;	1227;	705;	36;	70;	153;	127;	0;	40;	0
6957.278879938428;	172;	405;	0;	1343;	805;	33;	89;	161;	137;	0;	49;	0
6884.5123472102805;	172;	408;	0;	1383;	764;	40;	86;	167;	141;	0;	50;	0
6884.35990573705;	172;	407;	0;	1425;	859;	46;	114;	206;	156;	0;	48;	0
6918.427333066621;	171;	408;	0;	1525;	869;	33;	94;	181;	150;	0;	42;	0
6893.387840180393;	172;	406;	0;	1306;	750;	41;	97;	169;	145;	0;	48;	0
6919.224917013472;	172;	407;	0;	1358;	789;	36;	94;	166;	158;	0;	56;	0
6950.84896461059;	172;	408;	0;	1310;	740;	37;	85;	161;	137;	0;	41;	0
6974.175214477183;	169;	406;	0;	1430;	827;	30;	87;	162;	151;	0;	51;	0
6904.632437774542;	172;	407;	0;	1516;	861;	36;	87;	172;	139;	0;	44;	0
6975.6363082048865;	169;	406;	0;	1329;	760;	48;	97;	171;	131;	0;	31;	0
6899.986353757985;	171;	408;	0;	1295;	795;	39;	93;	162;	142;	0;	47;	0
6884.557114691854;	172;	408;	0;	1605;	948;	35;	90;	180;	152;	0;	43;	0
6953.13431837825;	172;	408;	0;	1552;	864;	32;	77;	165;	142;	0;	37;	0
6925.190135264509;	172;	407;	0;	1294;	757;	41;	96;	173;	119;	0;	37;	0
6906.515959334942;	170;	405;	0;	1224;	696;	47;	97;	168;	106;	0;	23;	0
6964.3675233657195;	170;	407;	0;	1336;	746;	39;	84;	148;	135;	0;	38;	0
6898.36074864178;	172;	407;	0;	1415;	843;	37;	86;	175;	139;	0;	50;	0
6973.555871559923;	171;	408;	0;	1327;	777;	31;	82;	152;	144;	0;	50;	0
7023.123570582782;	172;	408;	0;	1587;	902;	33;	84;	198;	153;	0;	48;	0
6913.733263316587;	172;	407;	0;	1487;	875;	41;	99;	186;	146;	0;	43;	0
6919.9558377409785;	170;	407;	0;	1514;	886;	34;	88;	184;	155;	0;	41;	0
6958.372549104495;	172;	408;	0;	1428;	840;	45;	94;	185;	140;	0;	36;	0
6948.459541625999;	172;	408;	0;	1477;	866;	51;	104;	198;	164;	0;	46;	0
6943.578537184695;	172;	407;	0;	1320;	737;	36;	77;	146;	122;	0;	42;	0
6871.870340990701;	172;	405;	0;	1244;	691;	45;	102;	168;	100;	0;	33;	0
6921.2421288877695;	172;	408;	0;	1448;	848;	42;	102;	177;	137;	0;	43;	0
6879.557038138312;	172;	404;	0;	1161;	634;	40;	80;	149;	117;	0;	46;	0
6916.31991645111;	172;	407;	0;	1582;	901;	27;	76;	173;	162;	0;	46;	0
6934.92467811167;	172;	406;	0;	1354;	792;	34;	77;	144;	150;	0;	52;	0
6889.369458652165;	171;	405;	0;	1197;	682;	35;	76;	134;	140;	0;	43;	0
6885.241631458193;	170;	406;	0;	1449;	845;	29;	73;	161;	168;	0;	40;	0
6930.195382689679;	172;	407;	0;	1400;	789;	42;	84;	168;	133;	0;	49;	0
7014.1045439514455;	172;	408;	0;	1637;	962;	34;	97;	203;	172;	0;	53;	0
6995.687347634095;	172;	407;	0;	1216;	685;	44;	99;	160;	129;	0;	53;	0
6903.1676954233435;	172;	406;	0;	1341;	766;	34;	88;	155;	135;	0;	42;	0
6924.612126121229;	172;	408;	0;	1432;	822;	36;	90;	175;	145;	0;	47;	0
6895.3298149756665;	172;	405;	0;	1321;	757;	38;	90;	164;	145;	0;	49;	0
6947.714675338129;	168;	406;	0;	1587;	940;	42;	101;	191;	162;	0;	40;	0
6913.21964100783;	170;	407;	0;	1467;	852;	37;	97;	180;	154;	0;	42;	0
6935.3432553876855;	172;	408;	0;	1398;	816;	35;	82;	172;	179;	0;	57;	0
6987.89315256829;	172;	407;	0;	1377;	797;	29;	89;	161;	141;	0;	39;	0
6999.378602455442;	172;	408;	0;	1473;	888;	41;	100;	185;	152;	0;	53;	0
6892.283780189606;	170;	407;	0;	1582;	902;	45;	101;	195;	131;	0;	37;	0
6968.836913130606;	170;	406;	0;	1647;	943;	33;	94;	180;	168;	0;	43;	0
6936.622031445648;	170;	407;	0;	1133;	680;	42;	91;	151;	137;	0;	50;	0
6867.423407848486;	172;	407;	0;	1311;	755;	41;	96;	183;	133;	0;	41;	0
6900.741099518028;	172;	407;	0;	1372;	771;	30;	80;	160;	128;	0;	44;	0
6971.350052905808;	172;	407;	0;	1442;	855;	37;	94;	181;	145;	0;	36;	0
6909.177955118496;	170;	407;	0;	1547;	900;	38;	83;	168;	153;	0;	46;	0
6976.222340641494;	172;	406;	0;	1478;	862;	38;	89;	171;	150;	0;	39;	0
6862.548147517488;	172;	406;	0;	1370;	816;	50;	109;	204;	149;	0;	46;	0
6936.350078544197;	172;	407;	0;	1218;	695;	41;	83;	156;	122;	0;	39;	0
6908.218426481074;	172;	407;	0;	1284;	723;	40;	95;	158;	138;	0;	36;	0
6895.772220932881;	172;	406;	0;	1327;	748;	42;	110;	177;	122;	0;	38;	0
6918.272684089279;	172;	408;	0;	1335;	734;	44;	84;	165;	136;	0;	33;	0
6982.646223734681;	172;	407;	0;	1475;	855;	42;	95;	176;	151;	0;	50;	0
6975.612150763276;	172;	408;	0;	1578;	928;	33;	88;	188;	155;	0;	40;	0
6928.57226764814;	172;	408;	0;	1520;	870;	36;	74;	157;	161;	0;	39;	0
6873.539131600812;	172;	408;	0;	1499;	842;	47;	100;	176;	160;	0;	48;	0
6973.078043784086;	172;	408;	0;	1578;	970;	40;	102;	201;	146;	0;	50;	0
6896.861227484511;	172;	407;	0;	1243;	687;	44;	95;	175;	117;	0;	32;	0
6906.7695977621925;	172;	408;	0;	1384;	780;	37;	80;	151;	139;	0;	36;	0
6960.753327078179;	171;	408;	0;	1414;	837;	45;	100;	183;	153;	0;	38;	0
6911.759591073912;	172;	408;	0;	1464;	824;	34;	78;	137;	161;	0;	47;	0
6971.69033380366;	168;	405;	0;	1376;	789;	37;	107;	180;	129;	0;	38;	0
6915.488749930051;	172;	408;	0;	1539;	884;	26;	88;	176;	164;	0;	41;	0
6924.708108604569;	170;	404;	0;	1377;	807;	36;	98;	182;	124;	0;	36;	0
6954.141828766624;	172;	406;	0;	1449;	818;	35;	81;	166;	149;	0;	35;	0
6935.537426362262;	172;	406;	0;	1225;	724;	46;	101;	162;	127;	0;	46;	0
6990.850857933778;	172;	408;	0;	1487;	880;	35;	98;	194;	142;	0;	39;	0
6920.505152588358;	172;	406;	0;	1236;	678;	41;	83;	146;	124;	0;	41;	0
6910.486533359248;	172;	407;	0;	1279;	729;	39;	87;	158;	135;	0;	31;	0
6896.973446279563;	170;	406;	0;	1414;	847;	42;	108;	188;	159;	0;	48;	0
6972.955205687818;	168;	405;	0;	1556;	927;	32;	92;	209;	158;	0;	49;	0
6907.783140174439;	172;	408;	0;	1511;	854;	41;	90;	189;	155;	0;	45;	0
6963.454299642597;	172;	407;	0;	1374;	829;	35;	94;	180;	153;	0;	44;	0
6911.106198308645;	170;	407;	0;	1556;	912;	41;	104;	199;	164;	0;	50;	0
6972.554722993531;	170;	407;	0;	1563;	914;	34;	77;	180;	174;	0;	39;	0
6982.175797953764;	172;	408;	0;	1656;	1014;	30;	100;	202;	180;	0;	53;	0
6931.116143091702;	172;	408;	0;	1443;	880;	47;	111;	205;	164;	0;	40;	0
7008.27924643773;	172;	408;	0;	1521;	892;	41;	102;	193;	171;	0;	48;	0
6937.311938269602;	172;	406;	0;	1251;	718;	32;	86;	158;	151;	0;	54;	0
6989.820928948853;	170;	407;	0;	1636;	968;	33;	96;	198;	169;	0;	34;	0
7013.245015323724;	172;	408;	0;	1521;	898;	30;	80;	165;	167;	0;	51;	0
6953.315559773722;	172;	407;	0;	1410;	823;	48;	98;	175;	153;	0;	50;	0
6942.908022517323;	172;	406;	0;	1300;	744;	35;	106;	194;	133;	0;	44;	0
6942.967208680091;	172;	407;	0;	1246;	717;	39;	92;	166;	138;	0;	37;	0
6908.580844161537;	172;	407;	0;	1474;	831;	48;	91;	172;	153;	0;	41;	0
6871.059329594404;	172;	407;	0;	1317;	783;	53;	106;	190;	153;	0;	51;	0
6937.433976698427;	169;	406;	0;	1231;	688;	33;	96;	170;	118;	0;	37;	0
