# hega-rs ver.0.2.9 statistics: 
#UrQmdF19 in Lab: false
FinEnergy;	ECharge;	BCharge;	LCharge;	FinCnt;	FinChargedCnt;	PseudorapidityFilterCnt(-0.5, 0.5);	PseudorapidityFilterCnt(-1.0, 1.0);	PseudorapidityFilterCnt(-1.5, 1.5);	PseudorapidityFilterCnt(3.5, 5.8);	PseudorapidityFilterCnt(-5.8, -3.5);	PseudorapidityFilterCnt(4.4, 5.8);	PseudorapidityFilterCnt(-5.8, -4.4)
6916.246163460228;	172;	408;	0;	1523;	872;	29;	89;	178;	149;	0;	45;	0
6986.465196516997;	172;	408;	0;	1448;	882;	31;	87;	175;	162;	0;	49;	0
6931.118641392697;	172;	407;	0;	1317;	725;	39;	95;	164;	147;	0;	56;	0
6919.510421976932;	172;	407;	0;	1531;	931;	38;	94;	191;	174;	0;	57;	0
6948.916893652499;	171;	407;	0;	1225;	684;	41;	85;	151;	130;	0;	46;	0
6893.32164807446;	172;	408;	0;	1603;	966;	45;	121;	229;	172;	0;	40;	0
6925.222028978126;	171;	408;	0;	1553;	913;	35;	86;	176;	164;	0;	47;	0
6965.761658940524;	170;	407;	0;	1245;	734;	42;	97;	191;	130;	0;	42;	0
6960.007880586878;	172;	407;	0;	1235;	721;	33;	79;	156;	119;	0;	36;	0
6923.594714390615;	172;	408;	0;	1412;	824;	32;	103;	183;	164;	0;	52;	0
6962.77448089256;	172;	407;	0;	1671;	979;	37;	91;	183;	173;	0;	46;	0
6945.528973624314;	170;	407;	0;	1445;	838;	29;	89;	183;	138;	0;	47;	0
6968.406528202134;	171;	407;	0;	1438;	834;	31;	103;	183;	156;	0;	34;	0
7002.09534872905;	172;	408;	0;	1516;	874;	43;	112;	187;	166;	0;	43;	0
6879.086761720397;	172;	407;	0;	1193;	705;	31;	81;	169;	130;	0;	44;	0
6892.467510967692;	171;	408;	0;	1522;	877;	37;	95;	185;	148;	0;	41;	0
7026.10904777983;	170;	406;	0;	1438;	837;	33;	105;	181;	164;	0;	55;	0
6911.5085455681565;	172;	408;	0;	1399;	806;	30;	83;	161;	149;	0;	58;	0
6884.208189835721;	172;	404;	0;	1392;	806;	25;	79;	164;	167;	1;	50;	1
6982.542986489427;	172;	407;	0;	1363;	761;	39;	91;	170;	142;	0;	39;	0
6890.20225638873;	172;	408;	0;	1556;	918;	40;	95;	204;	162;	0;	41;	0
7014.244386467625;	168;	404;	0;	1377;	802;	53;	100;	205;	137;	0;	35;	0
6905.3526546099065;	172;	406;	0;	1203;	674;	47;	86;	144;	128;	0;	38;	0
6867.2130243222455;	172;	407;	0;	1428;	841;	39;	92;	183;	146;	0;	52;	0
6928.485833589726;	172;	406;	0;	1466;	864;	42;	86;	177;	138;	0;	40;	0
6952.112502073428;	168;	406;	0;	1414;	848;	32;	94;	182;	146;	0;	49;	0
6900.108899595493;	172;	408;	0;	1143;	654;	35;	92;	162;	111;	0;	37;	0
6945.703946010794;	172;	408;	0;	1440;	836;	39;	94;	179;	152;	0;	37;	0
6935.673995476907;	172;	408;	0;	1667;	982;	34;	84;	185;	171;	0;	50;	0
6931.905469857353;	170;	406;	0;	1433;	821;	29;	86;	177;	120;	0;	40;	0
6916.332973082788;	168;	406;	0;	1285;	738;	37;	85;	159;	143;	0;	42;	0
6928.448603053349;	172;	407;	0;	1337;	767;	35;	94;	172;	153;	0;	51;	0
6909.4179673224135;	170;	406;	0;	1291;	727;	40;	96;	168;	143;	0;	47;	0
6879.405246048446;	171;	406;	0;	1504;	903;	28;	95;	179;	150;	1;	43;	0
6866.249777355839;	172;	408;	0;	1529;	886;	33;	108;	189;	156;	0;	50;	0
6935.220493840755;	171;	407;	0;	1274;	730;	42;	98;	182;	133;	0;	42;	0
6924.857783121607;	170;	406;	0;	1270;	715;	42;	100;	165;	128;	0;	44;	0
6904.118592502394;	171;	405;	0;	1365;	782;	46;	105;	202;	137;	0;	41;	0
6988.3997727108335;	172;	408;	0;	1446;	804;	35;	93;	164;	137;	0;	49;	0
6927.255355008865;	172;	408;	0;	1392;	786;	42;	98;	185;	151;	1;	47;	0
6934.041355118122;	172;	405;	0;	1551;	913;	39;	98;	178;	173;	0;	49;	0
6892.795927431159;	169;	406;	0;	1416;	856;	29;	82;	174;	164;	0;	58;	0
6911.027281079426;	170;	404;	0;	1234;	701;	33;	74;	147;	135;	0;	43;	0
6934.485422305951;	167;	405;	0;	1436;	826;	34;	103;	205;	139;	0;	39;	0
6908.605238548791;	172;	405;	0;	1310;	749;	35;	87;	163;	140;	0;	41;	0
6882.920794804414;	172;	406;	0;	1234;	726;	33;	72;	153;	141;	0;	42;	0
6881.940651194728;	170;	407;	0;	1225;	702;	32;	81;	151;	150;	0;	55;	0
6923.494096145203;	170;	407;	0;	1504;	880;	34;	92;	182;	163;	0;	46;	0
6880.463329437739;	170;	407;	0;	1259;	700;	31;	76;	135;	141;	0;	49;	0
6878.872790344909;	169;	406;	0;	1491;	878;	36;	107;	177;	168;	0;	46;	0
6881.149540005642;	172;	407;	0;	1306;	765;	38;	95;	169;	158;	0;	47;	0
6904.51132399842;	172;	408;	0;	1276;	740;	46;	93;	174;	136;	0;	42;	0
6970.128790008052;	170;	407;	0;	1489;	850;	34;	81;	164;	142;	0;	39;	0
6898.756766506343;	172;	407;	0;	1371;	817;	37;	92;	177;	142;	0;	36;	0
6915.777915728973;	172;	408;	0;	1555;	914;	26;	90;	189;	139;	0;	42;	0
6879.903783913138;	171;	408;	0;	1363;	791;	35;	93;	158;	148;	0;	31;	0
6917.68565943123;	172;	408;	0;	1470;	858;	46;	105;	177;	166;	0;	36;	0
6937.5295395568155;	172;	407;	0;	1465;	817;	26;	71;	146;	165;	0;	37;	0
6963.277630999482;	172;	408;	0;	1435;	846;	37;	95;	171;	158;	0;	38;	0
6933.051215553058;	172;	406;	0;	1345;	772;	37;	96;	162;	127;	0;	37;	0
6957.586165866576;	172;	408;	0;	1475;	868;	35;	90;	178;	164;	0;	49;	0
6900.778803231534;	172;	407;	0;	1378;	823;	42;	86;	169;	164;	0;	56;	0
