# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=14628
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	2.287541718297177;	0.9252365868468064;
-2212;	0.938;	-1;	15.584768185236904;	0.9981936702801594;
-2212;	0.938;	-1;	15.120115598446302;	0.9980812688967956;
-2212;	0.938;	-1;	5.360591180080421;	0.9850336949836638;
-2212;	0.938;	-1;	4.237023328914298;	0.9763605043775161;
-2212;	0.938;	-1;	12.632563517314349;	0.9972546268649382;
-2212;	0.938;	-1;	14.265625403878508;	0.9978452910525021;
-2212;	0.938;	-1;	14.733339218539156;	0.997979515498735;
-2212;	0.938;	-1;	10.342320690845213;	0.9959123804556931;
-2212;	0.938;	-1;	8.97795185978233;	0.9945864352648476;
-2212;	0.938;	-1;	2.1445664708012666;	0.9161962102780911;
-2212;	0.938;	-1;	4.106482287528571;	0.9748907025851181;
-2212;	0.938;	-1;	1.162470698410932;	0.7782417111149863;
-2212;	0.938;	-1;	6.222728453666125;	0.9888290791406171;
-2212;	0.938;	-1;	6.6979889030021535;	0.9903360297642809;
-2212;	0.938;	-1;	24.762684676901127;	0.9992833399943518;
-2212;	0.938;	-1;	3.559202091264131;	0.9669830113629584;
-2212;	0.938;	-1;	3.5484409517402487;	0.9667923304819749;
-2212;	0.938;	-1;	18.402624832636295;	0.998703504821961;
-2212;	0.938;	-1;	11.453490684581054;	0.9966632626991903;
-2212;	0.938;	-1;	4.347069531093907;	0.9775026524482939;
-2212;	0.938;	-1;	2.5963818634624993;	0.9405055593288866;
-2212;	0.938;	-1;	9.338737648515295;	0.9949935674072662;
-2212;	0.938;	-1;	3.919157200435446;	0.9725333944479403;
-2212;	0.938;	-1;	3.362089500317517;	0.9632154015134167;
-2212;	0.938;	-1;	2.61576400337497;	0.9413081598943729;
-2212;	0.938;	-1;	17.480475420964094;	0.9985634109169533;
-2212;	0.938;	-1;	4.062179206102065;	0.974361019410665;
-2212;	0.938;	-1;	6.6924588600177435;	0.9903202835411679;
-2212;	0.938;	-1;	6.000052863554204;	0.9879996801666721;
-2212;	0.938;	-1;	6.886067123663519;	0.9908495975361392;
-2212;	0.938;	-1;	6.090985709731942;	0.9883491225095147;
-2212;	0.938;	-1;	0.6823668758820287;	0.5882760407544972;
-2212;	0.938;	-1;	16.45285482551554;	0.998378802094799;
-2212;	0.938;	-1;	3.972153701462848;	0.973232457272551;
-2212;	0.938;	-1;	2.518997547570263;	0.9371368793753538;
-2212;	0.938;	-1;	2.0038821293471827;	0.9056880364636527;
-2212;	0.938;	-1;	4.5152469878048755;	0.9790961423063492;
-2212;	0.938;	-1;	1.4841285348260778;	0.845320254745398;
-2212;	0.938;	-1;	5.216306149197515;	0.9842140709713939;
-2212;	0.938;	-1;	2.9844327192350977;	0.9539904773117209;
-2212;	0.938;	-1;	6.69508821733366;	0.9903277751350004;
-2212;	0.938;	-1;	11.916616862142375;	0.9969164050571898;
-2212;	0.938;	-1;	5.198651822470499;	0.9841092191308352;
-2212;	0.938;	-1;	4.873941357129977;	0.981980149050032;
-2212;	0.938;	-1;	2.1658840126241756;	0.9176405773090375;
-2212;	0.938;	-1;	1.0643206062258685;	0.7502246415149666;
-2212;	0.938;	-1;	8.359603589133515;	0.9937637016586276;
-2212;	0.938;	-1;	7.763287766952865;	0.9927796087144964;
-2212;	0.938;	-1;	12.551546469305606;	0.997219219280829;
-2212;	0.938;	-1;	12.986278771173248;	0.9974015704754259;
-2212;	0.938;	-1;	1.0051798178007754;	0.7311161557950786;
-2212;	0.938;	-1;	7.136262638780961;	0.9914719314153089;
-2212;	0.938;	-1;	5.600770508824032;	0.9862640238627663;
-2212;	0.938;	-1;	5.920990796588101;	0.9876830000714527;
-2212;	0.938;	-1;	2.797803205714798;	0.9481329842374348;
-2212;	0.938;	-1;	4.8029820705907795;	0.9814585921257427;
-2212;	0.938;	-1;	9.066097813752908;	0.9946903584362665;
-2212;	0.938;	-1;	2.8673609758221934;	0.9504372017274008;
-2212;	0.938;	-1;	8.086099378070987;	0.9933389710892657;
-2212;	0.938;	-1;	7.044919980895879;	0.9912522643654116;
-2212;	0.938;	-1;	12.277319234604184;	0.9970941554330521;
-2212;	0.938;	-1;	4.156628063057844;	0.975470914586945;
-2212;	0.938;	-1;	17.000439401414333;	0.9984813238184302;
-2212;	0.938;	-1;	5.600377825133586;	0.9862621370482385;
-2212;	0.938;	-1;	0.8990106833793745;	0.6919430822133843;
-2212;	0.938;	-1;	4.37521820584631;	0.9777816569276112;
-2212;	0.938;	-1;	11.44053085506088;	0.9966557366092984;
-2212;	0.938;	-1;	5.867767234275487;	0.9874627477000955;
-2212;	0.938;	-1;	19.35184549174636;	0.9988273552255409;
-2212;	0.938;	-1;	15.174735076732015;	0.9980950171105262;
-2212;	0.938;	-1;	9.809062823113328;	0.9954589679233818;
-2212;	0.938;	-1;	3.918453791980837;	0.9725239351397631;
-2212;	0.938;	-1;	1.3070109409021793;	0.8124317444552708;
-2212;	0.938;	-1;	1.3691773029911063;	0.8249717039652704;
-2212;	0.938;	-1;	3.4573304242539504;	0.9651107848979742;
-2212;	0.938;	-1;	2.6174463087828563;	0.9413770789302591;
-2212;	0.938;	-1;	21.724290656960473;	0.9990691541854526;
-2212;	0.938;	-1;	3.0580245221789837;	0.9560361704713779;
-2212;	0.938;	-1;	3.500466831881999;	0.9659221879627239;
-2212;	0.938;	-1;	11.358135738502734;	0.9966072877024411;
-2212;	0.938;	-1;	19.93733566981694;	0.9988951045117695;
-2212;	0.938;	-1;	4.776447987886919;	0.9812577891986299;
-2212;	0.938;	-1;	3.542200867530242;	0.9666810152175984;
-2212;	0.938;	-1;	14.602775537548641;	0.9979433354847066;
-2212;	0.938;	-1;	19.555775175710753;	0.9988516427402928;
-2212;	0.938;	-1;	6.291439333544988;	0.9890677846070663;
-2212;	0.938;	-1;	7.239003361023187;	0.9917093048932315;
-2212;	0.938;	-1;	3.9113846334137223;	0.9724286022563597;
-2212;	0.938;	-1;	1.8935334215693158;	0.8960805082124375;
-2212;	0.938;	-1;	1.1008398861160509;	0.7611587457587962;
-2212;	0.938;	-1;	4.672658097856615;	0.9804404735249187;
-2212;	0.938;	-1;	7.344623143345613;	0.991943186823571;
-2212;	0.938;	-1;	19.05094413187244;	0.9987900875934529;
-2212;	0.938;	-1;	5.29791968847443;	0.9846856549767936;
-2212;	0.938;	-1;	0.43997720451643857;	0.4246631114663545;
-2212;	0.938;	-1;	2.1154148975514495;	0.9141615489459439;
-2212;	0.938;	-1;	4.954483221646961;	0.9825461373065995;
-2212;	0.938;	-1;	11.886784338131042;	0.9969009796681746;
-2212;	0.938;	-1;	1.906778012651942;	0.8973051749043521;
-2212;	0.938;	-1;	8.90730620990415;	0.9945009324137989;
-2212;	0.938;	-1;	1.711785206888119;	0.8769680747135897;
-2212;	0.938;	-1;	12.776902001378307;	0.9973160564452686;
-2212;	0.938;	-1;	16.688654628971772;	0.9984241839122108;
-2212;	0.938;	-1;	9.888668474937614;	0.9955312986035344;
-2212;	0.938;	-1;	5.845958260389823;	0.987370798008143;
-2212;	0.938;	-1;	1.8180744774494253;	0.8886925683320852;
-2212;	0.938;	-1;	2.299954636114591;	0.9259542359641969;
-2212;	0.938;	-1;	5.621674373473085;	0.9863639107239895;
-2212;	0.938;	-1;	8.350687528086297;	0.993750502154003;
-2212;	0.938;	-1;	2.4759351458640833;	0.9351412051955709;
-2212;	0.938;	-1;	5.974086917765258;	0.9878970266938661;
-2212;	0.938;	-1;	2.7228565185091926;	0.945470966098839;
-2212;	0.938;	-1;	5.609579605274891;	0.9863062496252734;
-2212;	0.938;	-1;	2.4198066799366433;	0.9323992793486698;
-2212;	0.938;	-1;	23.217610683971476;	0.9991849028193739;
-2212;	0.938;	-1;	2.439112849853315;	0.9333610327150699;
-2212;	0.938;	-1;	2.006861129988819;	0.9059295835251506;
-2212;	0.938;	-1;	10.370912987472076;	0.9959347512122575;
-2212;	0.938;	-1;	18.654224354666052;	0.998738176302226;
-2212;	0.938;	-1;	3.1866220244669745;	0.9593036890643099;
-2212;	0.938;	-1;	3.0829981993913003;	0.9567001361380671;
-2212;	0.938;	-1;	2.4581517596967037;	0.934290185819055;
-2212;	0.938;	-1;	17.65044922333664;	0.9985908882208182;
-2212;	0.938;	-1;	8.651012508290576;	0.9941731612553795;
-2212;	0.938;	-1;	12.127291482138004;	0.997022136630394;
-2212;	0.938;	-1;	0.5286500877447105;	0.49098429079391936;
-2212;	0.938;	-1;	3.924765487103784;	0.9726086416522234;
