# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=168568267
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.073960205734428;	2.0827110926784553;	33614
2.0827110926784553;	2.0914619796224825;	32994
2.0914619796224825;	2.1002128665665096;	32677
2.1002128665665096;	2.1089637535105368;	32486
2.1089637535105368;	2.117714640454564;	31836
2.117714640454564;	2.126465527398591;	31637
2.126465527398591;	2.135216414342618;	31198
2.135216414342618;	2.1439673012866454;	31280
2.1439673012866454;	2.1527181882306725;	30432
2.1527181882306725;	2.161469075174699;	30157
2.161469075174699;	2.1702199621187264;	29435
2.1702199621187264;	2.1789708490627535;	29529
2.1789708490627535;	2.1877217360067807;	28947
2.1877217360067807;	2.196472622950808;	28859
2.196472622950808;	2.205223509894835;	28435
2.205223509894835;	2.213974396838862;	27898
2.213974396838862;	2.2227252837828892;	27506
2.2227252837828892;	2.2314761707269164;	27438
2.2314761707269164;	2.2402270576709435;	26971
2.2402270576709435;	2.2489779446149707;	26731
2.2489779446149707;	2.257728831558998;	26085
2.257728831558998;	2.266479718503025;	25938
2.266479718503025;	2.275230605447052;	25618
2.275230605447052;	2.2839814923910793;	25624
2.2839814923910793;	2.2927323793351064;	25373
2.2927323793351064;	2.3014832662791336;	24467
2.3014832662791336;	2.3102341532231607;	24516
2.3102341532231607;	2.318985040167188;	24069
2.318985040167188;	2.3277359271112146;	24019
2.3277359271112146;	2.3364868140552417;	23637
2.3364868140552417;	2.345237700999269;	23214
2.345237700999269;	2.353988587943296;	22778
2.353988587943296;	2.362739474887323;	22717
2.362739474887323;	2.3714903618313503;	22153
2.3714903618313503;	2.3802412487753775;	21890
2.3802412487753775;	2.3889921357194046;	21464
2.3889921357194046;	2.3977430226634318;	21309
2.3977430226634318;	2.406493909607459;	21061
2.406493909607459;	2.415244796551486;	20533
2.415244796551486;	2.423995683495513;	20463
2.423995683495513;	2.4327465704395403;	20230
2.4327465704395403;	2.4414974573835675;	19948
2.4414974573835675;	2.4502483443275946;	19631
2.4502483443275946;	2.458999231271622;	19282
2.458999231271622;	2.467750118215649;	18808
2.467750118215649;	2.476501005159676;	18863
2.476501005159676;	2.485251892103703;	18496
2.485251892103703;	2.49400277904773;	18057
2.49400277904773;	2.502753665991757;	17841
2.502753665991757;	2.5115045529357842;	17549
2.5115045529357842;	2.5202554398798114;	17148
2.5202554398798114;	2.5290063268238385;	16924
2.5290063268238385;	2.5377572137678657;	16723
2.5377572137678657;	2.546508100711893;	16427
2.546508100711893;	2.55525898765592;	16226
2.55525898765592;	2.564009874599947;	15925
2.564009874599947;	2.5727607615439743;	15817
2.5727607615439743;	2.5815116484880014;	15463
2.5815116484880014;	2.5902625354320286;	15224
2.5902625354320286;	2.5990134223760557;	14997
2.5990134223760557;	2.607764309320083;	14914
2.607764309320083;	2.61651519626411;	14448
2.61651519626411;	2.625266083208137;	14245
2.625266083208137;	2.6340169701521643;	13702
2.6340169701521643;	2.642767857096191;	13858
2.642767857096191;	2.651518744040218;	13486
2.651518744040218;	2.6602696309842453;	12954
2.6602696309842453;	2.6690205179282724;	12973
2.6690205179282724;	2.6777714048722996;	12739
2.6777714048722996;	2.6865222918163267;	12442
2.6865222918163267;	2.695273178760354;	12176
2.695273178760354;	2.704024065704381;	11876
2.704024065704381;	2.712774952648408;	11760
2.712774952648408;	2.7215258395924353;	11624
2.7215258395924353;	2.7302767265364625;	11138
2.7302767265364625;	2.7390276134804896;	10971
2.7390276134804896;	2.7477785004245168;	10597
2.7477785004245168;	2.756529387368544;	10662
2.756529387368544;	2.765280274312571;	10191
2.765280274312571;	2.774031161256598;	10048
2.774031161256598;	2.7827820482006254;	9960
2.7827820482006254;	2.7915329351446525;	9602
2.7915329351446525;	2.800283822088679;	9223
2.800283822088679;	2.8090347090327064;	9048
2.8090347090327064;	2.8177855959767335;	8652
2.8177855959767335;	2.8265364829207607;	8487
2.8265364829207607;	2.835287369864788;	8266
2.835287369864788;	2.844038256808815;	7995
2.844038256808815;	2.852789143752842;	7969
2.852789143752842;	2.8615400306968692;	7610
2.8615400306968692;	2.8702909176408964;	7389
2.8702909176408964;	2.8790418045849235;	7104
2.8790418045849235;	2.8877926915289507;	6811
2.8877926915289507;	2.896543578472978;	6589
2.896543578472978;	2.905294465417005;	6305
2.905294465417005;	2.914045352361032;	6383
2.914045352361032;	2.9227962393050593;	5864
2.9227962393050593;	2.9315471262490864;	5743
2.9315471262490864;	2.9402980131931136;	5459
2.9402980131931136;	2.9490489001371407;	5217
2.9490489001371407;	2.957799787081168;	5039
2.957799787081168;	2.9665506740251946;	4829
2.9665506740251946;	2.9753015609692217;	4636
2.9753015609692217;	2.984052447913249;	4406
2.984052447913249;	2.992803334857276;	4167
2.992803334857276;	3.001554221801303;	3861
3.001554221801303;	3.0103051087453303;	3707
