# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=47356
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	0.9666052981534919;	0.717645894075079;
-2212;	0.938;	-1;	7.389082153461281;	0.9920386971968879;
-2212;	0.938;	-1;	4.418004543742005;	0.9781960178351846;
-2212;	0.938;	-1;	1.7302845264262177;	0.8791296594169995;
-2212;	0.938;	-1;	10.61348144973048;	0.996117379837503;
-2212;	0.938;	-1;	7.220606580482002;	0.9916675319680892;
-2212;	0.938;	-1;	2.779705635743089;	0.9475078369567578;
-2212;	0.938;	-1;	2.799853046442438;	0.948203106055133;
-2212;	0.938;	-1;	27.345635133576476;	0.9994122175508899;
-2212;	0.938;	-1;	10.415206958961354;	0.9959690468619429;
-2212;	0.938;	-1;	3.5929593326366773;	0.9675708016651463;
-2212;	0.938;	-1;	7.535054171833405;	0.9923406679299569;
-2212;	0.938;	-1;	21.743756215109315;	0.9990708177515276;
-2212;	0.938;	-1;	6.290192156398165;	0.9890635199089454;
-2212;	0.938;	-1;	2.7626290070572272;	0.9469078199503292;
-2212;	0.938;	-1;	1.7738499516576929;	0.8840138877421905;
-2212;	0.938;	-1;	12.708877255415642;	0.99728736484837;
-2212;	0.938;	-1;	2.0788991696878902;	0.9115116098285418;
-2212;	0.938;	-1;	8.557247403843423;	0.9940459122079313;
-2212;	0.938;	-1;	6.289769441145279;	0.9890620738791667;
-2212;	0.938;	-1;	1.3465656141095244;	0.8205454746998025;
-2212;	0.938;	-1;	26.165906820204476;	0.9993580728190192;
-2212;	0.938;	-1;	19.600923864265525;	0.9988569178335761;
-2212;	0.938;	-1;	4.728186715240421;	0.9808841849513134;
-2212;	0.938;	-1;	2.4811510154081713;	0.9353877791880836;
-2212;	0.938;	-1;	2.522413722179264;	0.9372913678935465;
-2212;	0.938;	-1;	6.063461679573559;	0.9882449701822842;
-2212;	0.938;	-1;	4.365463102774051;	0.9776855500709037;
-2212;	0.938;	-1;	15.835904863664027;	0.9982503589515878;
-2212;	0.938;	-1;	1.1799971808716707;	0.7828059587877806;
-2212;	0.938;	-1;	2.1903688508634795;	0.9192558447779966;
-2212;	0.938;	-1;	5.469645904766139;	0.9856118573548037;
-2212;	0.938;	-1;	5.0640110755461425;	0.9832743498596852;
-2212;	0.938;	-1;	3.6390716650691286;	0.9683490877183507;
-2212;	0.938;	-1;	3.8464819037759685;	0.9715300085357915;
-2212;	0.938;	-1;	21.905848337813925;	0.9990844990195977;
-2212;	0.938;	-1;	12.852707178465439;	0.9973474973581721;
-2212;	0.938;	-1;	2.102271445760514;	0.913220983785566;
-2212;	0.938;	-1;	12.57633364411401;	0.9972301245158206;
-2212;	0.938;	-1;	10.46688644844871;	0.9960085162539165;
-2212;	0.938;	-1;	3.88789970697059;	0.9721083537773846;
-2212;	0.938;	-1;	5.1783116852680555;	0.9839871260409524;
-2212;	0.938;	-1;	8.89881793863977;	0.994490523253767;
-2212;	0.938;	-1;	8.150520764761238;	0.9934428226530525;
-2212;	0.938;	-1;	4.65041440153262;	0.9802584308932707;
-2212;	0.938;	-1;	3.8950072370140725;	0.9722058525026681;
-2212;	0.938;	-1;	0.5196220122629341;	0.48458141086062145;
-2212;	0.938;	-1;	7.794801138083639;	0.9928372484143464;
-2212;	0.938;	-1;	20.237818611583215;	0.9989276186520494;
-2212;	0.938;	-1;	16.641916925752273;	0.9984153413940283;
-2212;	0.938;	-1;	7.0675640732086045;	0.9913075015203286;
-2212;	0.938;	-1;	2.0703460511414513;	0.910874011329959;
-2212;	0.938;	-1;	3.253579656332391;	0.9608654665056215;
-2212;	0.938;	-1;	8.668694740219314;	0.9941967016392169;
-2212;	0.938;	-1;	6.156532024727314;	0.9885916805006247;
-2212;	0.938;	-1;	5.041098703891544;	0.9831257998205538;
-2212;	0.938;	-1;	11.063846060699236;	0.9964253797834244;
-2212;	0.938;	-1;	10.76366964694234;	0.9962243656961451;
-2212;	0.938;	-1;	9.128749261724193;	0.994762419847535;
-2212;	0.938;	-1;	31.311269827202825;	0.9995515829414491;
-2212;	0.938;	-1;	8.94088655324096;	0.9945418248982317;
-2212;	0.938;	-1;	7.168905677899242;	0.9915484388065621;
-2212;	0.938;	-1;	3.6984410827604233;	0.9693111682050294;
-2212;	0.938;	-1;	5.277467448640588;	0.984569465465432;
-2212;	0.938;	-1;	10.894804911615903;	0.9963142106382953;
-2212;	0.938;	-1;	15.461683710998123;	0.9981648762596278;
-2212;	0.938;	-1;	5.419717260068555;	0.9853513609027872;
-2212;	0.938;	-1;	3.531186949848025;	0.9664831937464317;
-2212;	0.938;	-1;	8.747581001608273;	0.9943000095607206;
-2212;	0.938;	-1;	4.670045578810986;	0.9804192221493715;
-2212;	0.938;	-1;	6.1083742448282425;	0.9884142138674347;
-2212;	0.938;	-1;	3.8158083741279514;	0.9710901923528896;
-2212;	0.938;	-1;	2.912376981935718;	0.9518495061683794;
-2212;	0.938;	-1;	3.2891226864633736;	0.9616589350353593;
-2212;	0.938;	-1;	3.2151766295399695;	0.959980723851389;
-2212;	0.938;	-1;	27.747888639644657;	0.999429121381635;
-2212;	0.938;	-1;	11.259092546871795;	0.9965476457308409;
-2212;	0.938;	-1;	4.627929056229038;	0.9800718415927139;
-2212;	0.938;	-1;	18.670975038894166;	0.9987404351054927;
-2212;	0.938;	-1;	11.882364582080285;	0.9968986845361835;
-2212;	0.938;	-1;	10.193922073575902;	0.9957932580721659;
-2212;	0.938;	-1;	6.475230367517823;	0.9896701248861927;
-2212;	0.938;	-1;	10.454630770063426;	0.9959992086722231;
-2212;	0.938;	-1;	1.9208530483608057;	0.8985843061156008;
-2212;	0.938;	-1;	0.9327382453981233;	0.7051151396258561;
-2212;	0.938;	-1;	4.119666639154314;	0.9750452059660649;
-2212;	0.938;	-1;	1.6242899190138103;	0.8659755856570307;
-2212;	0.938;	-1;	5.797780038430658;	0.9871640751865985;
-2212;	0.938;	-1;	8.335188269496017;	0.9937274571231512;
-2212;	0.938;	-1;	2.8151721032007972;	0.9487227909350566;
-2212;	0.938;	-1;	19.161857688711375;	0.9988040285550704;
-2212;	0.938;	-1;	27.05100876528003;	0.9993993557429915;
-2212;	0.938;	-1;	0.970888232989771;	0.7191827904255909;
-2212;	0.938;	-1;	4.970222169128861;	0.9826536477856832;
-2212;	0.938;	-1;	5.646025051388455;	0.9864789093055648;
-2212;	0.938;	-1;	25.582510280529643;	0.9993284911416609;
-2212;	0.938;	-1;	6.796526741434995;	0.9906103142475569;
-2212;	0.938;	-1;	3.442257368328522;	0.9648205382303177;
-2212;	0.938;	-1;	6.530411446078187;	0.9898413195310188;
-2212;	0.938;	-1;	7.537713528552939;	0.99234600962568;
-2212;	0.938;	-1;	2.326045789031248;	0.9274306421886115;
-2212;	0.938;	-1;	3.0350222438125556;	0.9554113253216264;
-2212;	0.938;	-1;	1.819083175695933;	0.8887961543624906;
-2212;	0.938;	-1;	19.566575707625745;	0.9988529079713173;
-2212;	0.938;	-1;	2.4170271879488654;	0.9322591639880671;
-2212;	0.938;	-1;	9.354818764323175;	0.9950106364309803;
-2212;	0.938;	-1;	1.6944976329809374;	0.8748987813904359;
-2212;	0.938;	-1;	1.9179566120986677;	0.8983229351344036;
-2212;	0.938;	-1;	11.566014593633236;	0.996727555248206;
-2212;	0.938;	-1;	12.409214415946693;	0.997155336568318;
-2212;	0.938;	-1;	2.8070588484273;	0.9484485096503639;
-2212;	0.938;	-1;	29.335007582841307;	0.9994891770498918;
-2212;	0.938;	-1;	3.3559398429115204;	0.9630878441297688;
-2212;	0.938;	-1;	9.173175493067871;	0.9948126357131535;
-2212;	0.938;	-1;	9.890354341547527;	0.9955328117122407;
-2212;	0.938;	-1;	4.086649423629705;	0.9746556056093765;
-2212;	0.938;	-1;	6.781553025673784;	0.9905693888543609;
-2212;	0.938;	-1;	5.901962638042051;	0.9876049239959444;
-2212;	0.938;	-1;	3.9010825353296488;	0.9722887924147717;
-2212;	0.938;	-1;	7.39090883661191;	0.992042585183717;
-2212;	0.938;	-1;	5.487319543676799;	0.9857024161498942;
-2212;	0.938;	-1;	9.55243505385538;	0.9952134718925807;
-2212;	0.938;	-1;	8.747095848125824;	0.9942993826452852;
-2212;	0.938;	-1;	4.438436273504217;	0.978389853858793;
-2212;	0.938;	-1;	17.603627388737813;	0.9985833983297542;
-2212;	0.938;	-1;	12.77505073518399;	0.997315281644256;
-2212;	0.938;	-1;	13.695618517963657;	0.9976628435797589;
-2212;	0.938;	-1;	5.261129964158745;	0.9844757067721316;
-2212;	0.938;	-1;	14.842894787859196;	0.9980091431784577;
-2212;	0.938;	-1;	14.828992448047238;	0.9980054196954672;
-2212;	0.938;	-1;	9.828689139649194;	0.9954769625104624;
-2212;	0.938;	-1;	2.558589940318886;	0.9388940633035068;
-2212;	0.938;	-1;	11.959076927278334;	0.9969381621824036;
-2212;	0.938;	-1;	13.848674643879104;	0.9977140427742348;
-2212;	0.938;	-1;	7.690320775966956;	0.9926434576806626;
-2212;	0.938;	-1;	11.823944753303019;	0.9968681070017343;
-2212;	0.938;	-1;	2.2763997859130543;	0.9245838475286062;
-2212;	0.938;	-1;	12.751959796063389;	0.9973055892920333;
