# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=163565326
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.6364158585330721;	1.645166745477099;	66116
1.645166745477099;	1.6539176324211262;	64718
1.6539176324211262;	1.6626685193651534;	64180
1.6626685193651534;	1.6714194063091805;	63207
1.6714194063091805;	1.6801702932532077;	62189
1.6801702932532077;	1.6889211801972348;	61346
1.6889211801972348;	1.697672067141262;	60714
1.697672067141262;	1.706422954085289;	59494
1.706422954085289;	1.7151738410293162;	58516
1.7151738410293162;	1.7239247279733432;	58567
1.7239247279733432;	1.7326756149173703;	57639
1.7326756149173703;	1.7414265018613975;	56667
1.7414265018613975;	1.7501773888054246;	56296
1.7501773888054246;	1.7589282757494518;	55346
1.7589282757494518;	1.767679162693479;	55079
1.767679162693479;	1.776430049637506;	54294
1.776430049637506;	1.7851809365815332;	53486
1.7851809365815332;	1.7939318235255604;	52651
1.7939318235255604;	1.8026827104695873;	51869
1.8026827104695873;	1.8114335974136144;	51102
1.8114335974136144;	1.8201844843576416;	51299
1.8201844843576416;	1.8289353713016687;	50451
1.8289353713016687;	1.8376862582456959;	49975
1.8376862582456959;	1.846437145189723;	49681
1.846437145189723;	1.8551880321337502;	48331
1.8551880321337502;	1.8639389190777773;	47590
1.8639389190777773;	1.8726898060218045;	47116
1.8726898060218045;	1.8814406929658314;	46653
1.8814406929658314;	1.8901915799098585;	46653
1.8901915799098585;	1.8989424668538857;	45501
1.8989424668538857;	1.9076933537979128;	44914
1.9076933537979128;	1.91644424074194;	44738
1.91644424074194;	1.9251951276859671;	43907
1.9251951276859671;	1.9339460146299943;	43658
1.9339460146299943;	1.9426969015740214;	43050
1.9426969015740214;	1.9514477885180486;	43008
1.9514477885180486;	1.9601986754620757;	42046
1.9601986754620757;	1.9689495624061026;	41796
1.9689495624061026;	1.9777004493501298;	41234
1.9777004493501298;	1.986451336294157;	40596
1.986451336294157;	1.995202223238184;	40094
1.995202223238184;	2.003953110182211;	40128
2.003953110182211;	2.012703997126238;	39071
2.012703997126238;	2.0214548840702653;	39149
2.0214548840702653;	2.0302057710142924;	38439
2.0302057710142924;	2.0389566579583196;	37957
2.0389566579583196;	2.0477075449023467;	37534
2.0477075449023467;	2.056458431846374;	37241
2.056458431846374;	2.065209318790401;	36827
2.065209318790401;	2.073960205734428;	35783
2.073960205734428;	2.0827110926784553;	35802
2.0827110926784553;	2.0914619796224825;	35083
2.0914619796224825;	2.1002128665665096;	35313
2.1002128665665096;	2.1089637535105368;	34409
2.1089637535105368;	2.117714640454564;	34120
2.117714640454564;	2.126465527398591;	33829
