# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=46939
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	8.460147198905938;	0.9939097066140689;
-2212;	0.938;	-1;	3.7051661113140395;	0.9694174163748713;
-2212;	0.938;	-1;	16.50736804153828;	0.9983894661512973;
-2212;	0.938;	-1;	20.16132211575347;	0.9989194787216868;
-2212;	0.938;	-1;	5.905878040120791;	0.9876210497877651;
-2212;	0.938;	-1;	3.817820814541112;	0.971119354791756;
-2212;	0.938;	-1;	4.393890416421875;	0.9779639105037433;
-2212;	0.938;	-1;	3.232368823362365;	0.9603804003322951;
-2212;	0.938;	-1;	3.6337957487539114;	0.9682614453937395;
-2212;	0.938;	-1;	11.582566762184019;	0.9967368558990074;
-2212;	0.938;	-1;	1.225337249635789;	0.7940521057205249;
-2212;	0.938;	-1;	4.6770345007279985;	0.9804759964276738;
-2212;	0.938;	-1;	12.25417114064745;	0.9970832148306449;
-2212;	0.938;	-1;	2.7494284820051167;	0.9464371138566627;
-2212;	0.938;	-1;	4.969405624341552;	0.9826480943333915;
-2212;	0.938;	-1;	2.7452265305292456;	0.946286002473434;
-2212;	0.938;	-1;	5.050052817953195;	0.983184085610671;
-2212;	0.938;	-1;	19.492390438649565;	0.9988441751784148;
-2212;	0.938;	-1;	1.2219753379843639;	0.793245056958728;
-2212;	0.938;	-1;	17.863999389909893;	0.9986243074441852;
-2212;	0.938;	-1;	22.85276877219603;	0.9991587022939218;
-2212;	0.938;	-1;	6.510456090802241;	0.9897799017635984;
-2212;	0.938;	-1;	7.483191351439571;	0.9922353704945889;
-2212;	0.938;	-1;	10.820256291936897;	0.9962635327894628;
-2212;	0.938;	-1;	12.098596978772745;	0.997008057959439;
-2212;	0.938;	-1;	4.457015676454818;	0.9785639057915876;
-2212;	0.938;	-1;	21.114473943276447;	0.9990146899591449;
-2212;	0.938;	-1;	29.25510189432799;	0.9994863849270844;
-2212;	0.938;	-1;	2.7495794845997814;	0.9464425326931317;
-2212;	0.938;	-1;	3.5570412620171963;	0.9669448525685954;
-2212;	0.938;	-1;	5.944447086115327;	0.9877782407787249;
-2212;	0.938;	-1;	19.659993245543703;	0.9988637647187073;
-2212;	0.938;	-1;	6.85886055743146;	0.9907778641271697;
-2212;	0.938;	-1;	2.4528035512786177;	0.9340310832371675;
-2212;	0.938;	-1;	7.629944933102074;	0.9925278790711096;
-2212;	0.938;	-1;	9.454563369633796;	0.9951145894582631;
-2212;	0.938;	-1;	4.116720869799166;	0.9750108077854527;
-2212;	0.938;	-1;	6.852656559661004;	0.9907613889916097;
-2212;	0.938;	-1;	9.795877130630519;	0.9954468182503786;
-2212;	0.938;	-1;	3.370119937540206;	0.9633809958479118;
-2212;	0.938;	-1;	2.1249642933164687;	0.9148357834732915;
-2212;	0.938;	-1;	12.129084485280659;	0.9970230130537615;
-2212;	0.938;	-1;	18.935791642775133;	0.9987753544943921;
-2212;	0.938;	-1;	1.288783365119212;	0.8085262427988956;
-2212;	0.938;	-1;	24.717280955853074;	0.9992807075215148;
-2212;	0.938;	-1;	4.159011015087722;	0.9754979906300089;
-2212;	0.938;	-1;	2.9714324795710905;	0.9536146468286014;
-2212;	0.938;	-1;	8.6382887506472;	0.9941561336277702;
-2212;	0.938;	-1;	15.906793574251406;	0.9982658783218821;
-2212;	0.938;	-1;	15.376266438662215;	0.9981444877695087;
-2212;	0.938;	-1;	5.873426427192989;	0.9874864445929705;
-2212;	0.938;	-1;	4.747358767222616;	0.9810339145928967;
-2212;	0.938;	-1;	4.596913555077689;	0.9798101395289075;
-2212;	0.938;	-1;	24.526653466975166;	0.9992694953128104;
-2212;	0.938;	-1;	6.8121962378796015;	0.9906528580445935;
-2212;	0.938;	-1;	19.653428299821407;	0.9988630068000812;
-2212;	0.938;	-1;	15.904826637699292;	0.998265450496002;
-2212;	0.938;	-1;	6.954222426698832;	0.9910256815055876;
-2212;	0.938;	-1;	15.633687034339053;	0.9982049264744562;
-2212;	0.938;	-1;	10.143760435969297;	0.9957518153097045;
-2212;	0.938;	-1;	4.766781369564269;	0.9811838311759883;
-2212;	0.938;	-1;	4.774359580443014;	0.9812418476899024;
-2212;	0.938;	-1;	4.70981577432373;	0.9807390583926274;
-2212;	0.938;	-1;	1.1283711619321453;	0.7689947225715593;
-2212;	0.938;	-1;	1.961114999223911;	0.9021207147024581;
-2212;	0.938;	-1;	2.287767121358509;	0.9252497076935566;
-2212;	0.938;	-1;	27.12863015609994;	0.9994027849205925;
-2212;	0.938;	-1;	12.50592660639446;	0.9971989797985197;
-2212;	0.938;	-1;	0.7483794747020162;	0.6236677878761563;
-2212;	0.938;	-1;	11.802817437014998;	0.9968569374982417;
-2212;	0.938;	-1;	7.1699215526755244;	0.9915508033010618;
-2212;	0.938;	-1;	10.532741000105196;	0.9960579788308479;
-2212;	0.938;	-1;	4.713626939857588;	0.980769300032393;
-2212;	0.938;	-1;	6.136782583734004;	0.9885193953744387;
-2212;	0.938;	-1;	12.127944336590364;	0.9970224557916327;
-2212;	0.938;	-1;	2.049509074751561;	0.9092929461102448;
-2212;	0.938;	-1;	8.07614992710289;	0.9933227129265892;
-2212;	0.938;	-1;	9.76186403299482;	0.9954152520779526;
-2212;	0.938;	-1;	3.7817430627953827;	0.970589872758314;
-2212;	0.938;	-1;	13.411676208750531;	0.9975632001027153;
-2212;	0.938;	-1;	18.005197033350814;	0.998645755701941;
-2212;	0.938;	-1;	1.8119072291110823;	0.8880562648253205;
-2212;	0.938;	-1;	3.7227139563807476;	0.9696921087905442;
-2212;	0.938;	-1;	2.2844395982649663;	0.9250556727860896;
-2212;	0.938;	-1;	1.6436790417864433;	0.8685264254849572;
-2212;	0.938;	-1;	20.088799107563027;	0.9989116757672244;
-2212;	0.938;	-1;	23.91981163937929;	0.9992320027930329;
-2212;	0.938;	-1;	20.888309232267435;	0.9989932702712169;
-2212;	0.938;	-1;	12.205737066143321;	0.9970601226612443;
-2212;	0.938;	-1;	4.7106474913358785;	0.9807456640991747;
-2212;	0.938;	-1;	24.703114600296253;	0.9992798831989416;
-2212;	0.938;	-1;	1.3559431543881957;	0.8223993116658547;
-2212;	0.938;	-1;	25.140319178552883;	0.9993046860119009;
-2212;	0.938;	-1;	8.849690332195811;	0.9944296951256271;
-2212;	0.938;	-1;	0.7917070879113057;	0.6449992261238795;
-2212;	0.938;	-1;	10.76028419876989;	0.9962220029577866;
-2212;	0.938;	-1;	3.1413416704675727;	0.9581950937737256;
-2212;	0.938;	-1;	6.421593618895858;	0.9894995622453115;
-2212;	0.938;	-1;	2.8558315342787637;	0.9500657451789709;
-2212;	0.938;	-1;	10.14409941609354;	0.9957520974172454;
-2212;	0.938;	-1;	1.9088631863232106;	0.8974961139242353;
-2212;	0.938;	-1;	6.570545890722094;	0.9899631873142772;
-2212;	0.938;	-1;	10.980436273965438;	0.9963711627049808;
-2212;	0.938;	-1;	17.501695802070195;	0.9985668849831686;
-2212;	0.938;	-1;	2.989297543039501;	0.9541299707871653;
-2212;	0.938;	-1;	6.436175843974125;	0.989546346670007;
