# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63769026
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.257728831558998;	2.266479718503025;	17329
2.266479718503025;	2.275230605447052;	17276
2.275230605447052;	2.2839814923910793;	17017
2.2839814923910793;	2.2927323793351064;	16907
2.2927323793351064;	2.3014832662791336;	16416
2.3014832662791336;	2.3102341532231607;	16349
2.3102341532231607;	2.318985040167188;	16096
2.318985040167188;	2.3277359271112146;	15882
2.3277359271112146;	2.3364868140552417;	15885
2.3364868140552417;	2.345237700999269;	15431
2.345237700999269;	2.353988587943296;	15099
2.353988587943296;	2.362739474887323;	15170
2.362739474887323;	2.3714903618313503;	14934
2.3714903618313503;	2.3802412487753775;	14632
2.3802412487753775;	2.3889921357194046;	14485
2.3889921357194046;	2.3977430226634318;	14406
2.3977430226634318;	2.406493909607459;	14120
2.406493909607459;	2.415244796551486;	13931
2.415244796551486;	2.423995683495513;	13848
2.423995683495513;	2.4327465704395403;	13493
2.4327465704395403;	2.4414974573835675;	13306
2.4414974573835675;	2.4502483443275946;	13238
2.4502483443275946;	2.458999231271622;	12896
2.458999231271622;	2.467750118215649;	12802
2.467750118215649;	2.476501005159676;	12797
2.476501005159676;	2.485251892103703;	12476
2.485251892103703;	2.49400277904773;	12324
2.49400277904773;	2.502753665991757;	12098
2.502753665991757;	2.5115045529357842;	11969
2.5115045529357842;	2.5202554398798114;	11597
2.5202554398798114;	2.5290063268238385;	11417
2.5290063268238385;	2.5377572137678657;	11284
2.5377572137678657;	2.546508100711893;	11324
2.546508100711893;	2.55525898765592;	11240
2.55525898765592;	2.564009874599947;	10696
2.564009874599947;	2.5727607615439743;	10684
2.5727607615439743;	2.5815116484880014;	10506
2.5815116484880014;	2.5902625354320286;	10293
2.5902625354320286;	2.5990134223760557;	10091
2.5990134223760557;	2.607764309320083;	9834
2.607764309320083;	2.61651519626411;	9579
2.61651519626411;	2.625266083208137;	9686
2.625266083208137;	2.6340169701521643;	9406
2.6340169701521643;	2.642767857096191;	9368
2.642767857096191;	2.651518744040218;	8883
2.651518744040218;	2.6602696309842453;	8914
2.6602696309842453;	2.6690205179282724;	8621
2.6690205179282724;	2.6777714048722996;	8728
