# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=616
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	2.6771266921513073;	0.9437477636659344;
-2212;	0.938;	-1;	0.8395494503696849;	0.6669211582225311;
-2212;	0.938;	-1;	3.6797397241469416;	0.9690128253586185;
-2212;	0.938;	-1;	2.6627967235085745;	0.9431914423054325;
-2212;	0.938;	-1;	1.9712547252460804;	0.9029836562832049;
-2212;	0.938;	-1;	2.747631194241687;	0.9463725554402901;
-2212;	0.938;	-1;	1.0047104193557463;	0.7309571775103962;
-2212;	0.938;	-1;	4.985490008743373;	0.9827570020080225;
-2212;	0.938;	-1;	5.393527173232574;	0.985211900540124;
-2212;	0.938;	-1;	1.9076635464588614;	0.897386324692181;
-2212;	0.938;	-1;	3.807127529114963;	0.9709638974094764;
-2212;	0.938;	-1;	2.9646161241470863;	0.9534157904300935;
-2212;	0.938;	-1;	7.645208104994462;	0.9925573525977379;
-2212;	0.938;	-1;	5.739519435392654;	0.9869072847575026;
-2212;	0.938;	-1;	4.371381593561124;	0.9777439321664371;
-2212;	0.938;	-1;	1.6959055028649832;	0.8750691166512723;
-2212;	0.938;	-1;	4.944250575057963;	0.9824757072898787;
-2212;	0.938;	-1;	2.5793016604662586;	0.939784983345253;
-2212;	0.938;	-1;	1.127995320252704;	0.7688900210282139;
-2212;	0.938;	-1;	5.177279481940394;	0.9839808929945417;
-2212;	0.938;	-1;	4.185248578427928;	0.9757932070987135;
-2212;	0.938;	-1;	2.285258109986922;	0.9251034692150113;
-2212;	0.938;	-1;	0.9479193154804897;	0.7108160983577536;
-2212;	0.938;	-1;	4.438252859509246;	0.978388125198041;
-2212;	0.938;	-1;	3.8871133380754412;	0.9720975355676683;
-2212;	0.938;	-1;	8.596319424409263;	0.9940994372641307;
-2212;	0.938;	-1;	2.7110540340017204;	0.945033666630692;
-2212;	0.938;	-1;	5.489924326410429;	0.9857156911189019;
-2212;	0.938;	-1;	6.578741158019975;	0.9899878037879611;
-2212;	0.938;	-1;	1.7634593590034902;	0.8828745266437589;
-2212;	0.938;	-1;	3.87244087324429;	0.9718945407239766;
-2212;	0.938;	-1;	1.5207771327682467;	0.8511239999465069;
-2212;	0.938;	-1;	4.341830970835425;	0.9774501557127604;
-2212;	0.938;	-1;	0.466264134122495;	0.4451229215803889;
-2212;	0.938;	-1;	2.4455101776651844;	0.9336753519324329;
-2212;	0.938;	-1;	0.8371165607763353;	0.6658460490810446;
-2212;	0.938;	-1;	0.9298151050918672;	0.704001431118981;
-2212;	0.938;	-1;	3.7275537153083387;	0.9697672288942634;
-2212;	0.938;	-1;	1.6264694049627864;	0.8662657411871661;
-2212;	0.938;	-1;	5.019066634688665;	0.9829810989476264;
-2212;	0.938;	-1;	0.9391060793515288;	0.7075233189906787;
-2212;	0.938;	-1;	0.6292886832190391;	0.5571221316287637;
-2212;	0.938;	-1;	1.1931942366312367;	0.7861613953337532;
-2212;	0.938;	-1;	0.9153257960973513;	0.6984035355800531;
-2212;	0.938;	-1;	4.260686932442462;	0.976613245982126;
-2212;	0.938;	-1;	4.310377829216947;	0.9771311037803548;
-2212;	0.938;	-1;	3.5454484399902078;	0.9667390163786778;
-2212;	0.938;	-1;	0.7779317121759467;	0.6383738208589271;
-2212;	0.938;	-1;	5.0436072850911975;	0.9831421594053411;
-2212;	0.938;	-1;	0.727206095359108;	0.612706461856419;
-2212;	0.938;	-1;	0.6626852140262374;	0.5770129921524848;
-2212;	0.938;	-1;	3.8528707729724077;	0.9716203707500642;
-2212;	0.938;	-1;	1.0110298571605094;	0.7330875233330401;
-2212;	0.938;	-1;	1.0833697045168837;	0.7560068780556891;
-2212;	0.938;	-1;	0.6367630506499258;	0.5616602794209193;
-2212;	0.938;	-1;	0.303058820727924;	0.3074421186428774;
-2212;	0.938;	-1;	4.993778091938507;	0.9828127243895275;
-2212;	0.938;	-1;	1.6247866063299543;	0.8660417868286413;
-2212;	0.938;	-1;	5.778390855719263;	0.9870794548016041;
-2212;	0.938;	-1;	0.6401921625953109;	0.5637255072063657;
-2212;	0.938;	-1;	3.474931788688952;	0.9654452723966185;
-2212;	0.938;	-1;	3.1794845357241477;	0.9591318301332238;
-2212;	0.938;	-1;	2.8322701466182565;	0.9492938810571403;
-2212;	0.938;	-1;	2.892847906330542;	0.951244136808935;
-2212;	0.938;	-1;	2.9138142741945803;	0.9518936247612378;
-2212;	0.938;	-1;	5.664896194664471;	0.9865670393455107;
-2212;	0.938;	-1;	0.7472919595325511;	0.623113540609979;
-2212;	0.938;	-1;	4.012562513746173;	0.9737479353793789;
-2212;	0.938;	-1;	3.0485194965097397;	0.9557795373772714;
-2212;	0.938;	-1;	2.2197715229090584;	0.921136044012073;
-2212;	0.938;	-1;	3.30937779901147;	0.962100571631845;
-2212;	0.938;	-1;	7.530452004248808;	0.9923314106524468;
-2212;	0.938;	-1;	0.5478355501808914;	0.5043303855718552;
-2212;	0.938;	-1;	4.042810188949884;	0.9741242354796739;
-2212;	0.938;	-1;	2.9095892739603304;	0.9517637668014178;
-2212;	0.938;	-1;	0.8152984242576456;	0.6560166179995118;
-2212;	0.938;	-1;	3.7738877733414387;	0.9704726868981373;
-2212;	0.938;	-1;	4.118113845361369;	0.9750270825115807;
-2212;	0.938;	-1;	1.413039787822512;	0.8331444026519397;
-2212;	0.938;	-1;	1.7968250667763959;	0.8864783875287922;
-2212;	0.938;	-1;	2.0480181376211;	0.9091782842764519;
-2212;	0.938;	-1;	3.491221992779605;	0.9657506497064086;
-2212;	0.938;	-1;	3.613334037692198;	0.9679181299757148;
-2212;	0.938;	-1;	2.5319949722584383;	0.9377217287644937;
-2212;	0.938;	-1;	1.1098399752617492;	0.7637578582474096;
-2212;	0.938;	-1;	1.8283563524512938;	0.8897420972424653;
-2212;	0.938;	-1;	2.3909615439961303;	0.9309244878693873;
-2212;	0.938;	-1;	2.263768146850291;	0.9238338556304252;
-2212;	0.938;	-1;	9.03859434193862;	0.9946582547832596;
-2212;	0.938;	-1;	4.184186769813699;	0.9757813625393386;
-2212;	0.938;	-1;	0.49590621957583875;	0.46738557263234953;
-2212;	0.938;	-1;	4.401488617014517;	0.9780374398745139;
-2212;	0.938;	-1;	3.911316604233802;	0.9724276824567435;
-2212;	0.938;	-1;	3.9250418201477806;	0.9726123413678822;
-2212;	0.938;	-1;	0.5236544629476579;	0.48745102948087643;
-2212;	0.938;	-1;	4.068825546001696;	0.9744415312367177;
-2212;	0.938;	-1;	1.0526359093756017;	0.7465904059179006;
-2212;	0.938;	-1;	2.373875234176809;	0.9300288606267632;
-2212;	0.938;	-1;	4.217598719427443;	0.9761500005039289;
-2212;	0.938;	-1;	7.676127600283101;	0.9926165288397696;
-2212;	0.938;	-1;	2.056370473782475;	0.9098179706869997;
-2212;	0.938;	-1;	4.663137365243812;	0.9803628622042702;
-2212;	0.938;	-1;	2.11887891945269;	0.9144070072011461;
-2212;	0.938;	-1;	2.751206675741392;	0.9465008749099624;
-2212;	0.938;	-1;	3.283277061406332;	0.9615300711243376;
-2212;	0.938;	-1;	4.747404242544445;	0.9810342676714642;
-2212;	0.938;	-1;	0.7534121736028692;	0.6262204731274099;
-2212;	0.938;	-1;	0.5783314492641741;	0.5248217168010583;
-2212;	0.938;	-1;	1.392112987335798;	0.8293114536188962;
-2212;	0.938;	-1;	5.367573460499632;	0.9850717397962312;
-2212;	0.938;	-1;	3.867034833699329;	0.97181919690915;
-2212;	0.938;	-1;	0.2346564440735911;	0.24268790308387758;
-2212;	0.938;	-1;	3.6765038360235667;	0.9689607689014064;
-2212;	0.938;	-1;	0.6206866787762163;	0.551836841588853;
-2212;	0.938;	-1;	5.599637233482183;	0.9862585775122285;
-2212;	0.938;	-1;	1.1134438775389623;	0.7647883191509485;
-2212;	0.938;	-1;	0.5210808684801238;	0.48562139372383684;
