# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=63691355
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.8551880321337502;	1.8639389190777773;	25969
1.8639389190777773;	1.8726898060218045;	25747
1.8726898060218045;	1.8814406929658314;	25243
1.8814406929658314;	1.8901915799098585;	25103
1.8901915799098585;	1.8989424668538857;	24842
1.8989424668538857;	1.9076933537979128;	24743
1.9076933537979128;	1.91644424074194;	24126
1.91644424074194;	1.9251951276859671;	24011
1.9251951276859671;	1.9339460146299943;	23812
1.9339460146299943;	1.9426969015740214;	23622
1.9426969015740214;	1.9514477885180486;	23130
1.9514477885180486;	1.9601986754620757;	22951
1.9601986754620757;	1.9689495624061026;	23121
1.9689495624061026;	1.9777004493501298;	22250
1.9777004493501298;	1.986451336294157;	21874
1.986451336294157;	1.995202223238184;	21877
1.995202223238184;	2.003953110182211;	21629
2.003953110182211;	2.012703997126238;	21364
2.012703997126238;	2.0214548840702653;	20796
2.0214548840702653;	2.0302057710142924;	20913
2.0302057710142924;	2.0389566579583196;	20860
2.0389566579583196;	2.0477075449023467;	20176
2.0477075449023467;	2.056458431846374;	19971
2.056458431846374;	2.065209318790401;	19755
2.065209318790401;	2.073960205734428;	19414
2.073960205734428;	2.0827110926784553;	19207
2.0827110926784553;	2.0914619796224825;	19068
2.0914619796224825;	2.1002128665665096;	18857
2.1002128665665096;	2.1089637535105368;	18455
2.1089637535105368;	2.117714640454564;	18461
2.117714640454564;	2.126465527398591;	18299
2.126465527398591;	2.135216414342618;	18140
2.135216414342618;	2.1439673012866454;	17751
2.1439673012866454;	2.1527181882306725;	17632
2.1527181882306725;	2.161469075174699;	17090
2.161469075174699;	2.1702199621187264;	16938
2.1702199621187264;	2.1789708490627535;	17124
2.1789708490627535;	2.1877217360067807;	16888
2.1877217360067807;	2.196472622950808;	16631
2.196472622950808;	2.205223509894835;	16399
2.205223509894835;	2.213974396838862;	16268
2.213974396838862;	2.2227252837828892;	15790
2.2227252837828892;	2.2314761707269164;	15720
2.2314761707269164;	2.2402270576709435;	15545
2.2402270576709435;	2.2489779446149707;	15134
2.2489779446149707;	2.257728831558998;	15086
2.257728831558998;	2.266479718503025;	14912
2.266479718503025;	2.275230605447052;	14741
2.275230605447052;	2.2839814923910793;	14477
2.2839814923910793;	2.2927323793351064;	14485
