# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=427
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	2.9999264370554153;	0.954432595232959;
-2212;	0.938;	-1;	6.554519225946172;	0.9899147855718755;
-2212;	0.938;	-1;	2.4224654470600817;	0.9325329166807764;
-2212;	0.938;	-1;	6.455460367766889;	0.9896077414202163;
-2212;	0.938;	-1;	1.520414696505529;	0.8510680845271303;
-2212;	0.938;	-1;	3.410280267194765;	0.9641928918114921;
-2212;	0.938;	-1;	3.133706431078859;	0.9580038002840332;
-2212;	0.938;	-1;	5.4143419978774485;	0.9853228981792242;
-2212;	0.938;	-1;	5.527934980387884;	0.9859073378110713;
-2212;	0.938;	-1;	4.357181109052618;	0.9776034715039035;
-2212;	0.938;	-1;	3.063026658731523;	0.9561703505827437;
-2212;	0.938;	-1;	3.4684702174735476;	0.9653230310541508;
-2212;	0.938;	-1;	3.899011843810814;	0.9722605645204616;
-2212;	0.938;	-1;	11.450948948936066;	0.9966617886518607;
-2212;	0.938;	-1;	1.545605381785726;	0.8548864484277204;
-2212;	0.938;	-1;	3.628248171487171;	0.9681689034601314;
-2212;	0.938;	-1;	1.7022712830171929;	0.8758352591828694;
-2212;	0.938;	-1;	7.56335584874578;	0.9923972314905513;
-2212;	0.938;	-1;	3.7260500425253564;	0.9697439191779942;
-2212;	0.938;	-1;	5.489700954305187;	0.9857145534489073;
-2212;	0.938;	-1;	3.4140381750564375;	0.9642675034172675;
-2212;	0.938;	-1;	2.891417958484729;	0.9511993740858513;
-2212;	0.938;	-1;	0.45879184155562314;	0.43937558256105225;
-2212;	0.938;	-1;	3.629531768525797;	0.9681903511651946;
-2212;	0.938;	-1;	3.1102704669906123;	0.957408544482363;
-2212;	0.938;	-1;	4.314426135820267;	0.9771725426302713;
-2212;	0.938;	-1;	4.377392463484283;	0.9778029939474998;
-2212;	0.938;	-1;	3.826751939709445;	0.9712482532315171;
-2212;	0.938;	-1;	3.354369495406849;	0.9630551673344894;
-2212;	0.938;	-1;	4.986908040248787;	0.9827665547383679;
-2212;	0.938;	-1;	5.555149716081827;	0.9860422093994283;
-2212;	0.938;	-1;	1.1475119259014261;	0.7742460310612155;
-2212;	0.938;	-1;	1.2785105395721226;	0.8062769817280886;
-2212;	0.938;	-1;	1.060060090693372;	0.7489073157093705;
-2212;	0.938;	-1;	1.6152919237911765;	0.8647683576391311;
-2212;	0.938;	-1;	3.201731707742546;	0.959664020373693;
-2212;	0.938;	-1;	3.8881062552597507;	0.9721111942685373;
-2212;	0.938;	-1;	2.029993872519077;	0.9077755807378647;
-2212;	0.938;	-1;	9.09665514042876;	0.994725689386287;
-2212;	0.938;	-1;	3.772418202024399;	0.9704506871192422;
-2212;	0.938;	-1;	4.222757685887861;	0.9762061781453286;
-2212;	0.938;	-1;	6.125819770377558;	0.9884789750878241;
-2212;	0.938;	-1;	0.7157679284883404;	0.6066335900023523;
-2212;	0.938;	-1;	3.179262068263351;	0.9591264563657731;
-2212;	0.938;	-1;	3.4453739988885097;	0.9648808430212387;
-2212;	0.938;	-1;	2.656279787079102;	0.9429357870693877;
-2212;	0.938;	-1;	0.9776269805508643;	0.7215797386940254;
-2212;	0.938;	-1;	2.9106941000744135;	0.9517977737773852;
-2212;	0.938;	-1;	1.0008718267355714;	0.7296526255143141;
-2212;	0.938;	-1;	4.95535332924273;	0.9825521067243373;
-2212;	0.938;	-1;	0.9264710824942136;	0.7027209670761314;
-2212;	0.938;	-1;	1.9189979516562803;	0.898417014376065;
-2212;	0.938;	-1;	0.9823142793551359;	0.7232318397998003;
-2212;	0.938;	-1;	0.6978136381980865;	0.5968825668218909;
-2212;	0.938;	-1;	3.853926726092338;	0.9716352649882626;
-2212;	0.938;	-1;	1.5238389116550346;	0.8515952070430909;
-2212;	0.938;	-1;	1.546709356225951;	0.8550506790556949;
-2212;	0.938;	-1;	2.42728078402582;	0.9327739777317569;
-2212;	0.938;	-1;	3.3300099862012424;	0.9625427789989498;
-2212;	0.938;	-1;	1.8124729054912794;	0.8881148417977313;
-2212;	0.938;	-1;	7.37585250685614;	0.9920104537752663;
-2212;	0.938;	-1;	5.842431992615746;	0.9873558364134656;
-2212;	0.938;	-1;	3.037489265394859;	0.955478961799976;
-2212;	0.938;	-1;	0.9975835092392016;	0.7285287129563771;
-2212;	0.938;	-1;	3.8998114564836337;	0.9722714699661507;
-2212;	0.938;	-1;	1.745311472041595;	0.8808464774808829;
-2212;	0.938;	-1;	4.257458097846648;	0.9765789966993582;
-2212;	0.938;	-1;	6.952270635750955;	0.991020709546246;
-2212;	0.938;	-1;	2.903084958930586;	0.9515628481140241;
-2212;	0.938;	-1;	0.7220215093873588;	0.609967107015077;
-2212;	0.938;	-1;	2.6699070384762464;	0.9434684772382932;
-2212;	0.938;	-1;	9.96661022646662;	0.9956004596024112;
-2212;	0.938;	-1;	1.404904275012714;	0.8316683689974319;
-2212;	0.938;	-1;	2.1346591848173326;	0.9155125527278722;
-2212;	0.938;	-1;	1.4108782110798932;	0.8327539520917542;
-2212;	0.938;	-1;	1.2613737491520902;	0.8024454595621264;
-2212;	0.938;	-1;	2.8781547092322888;	0.9507813055183001;
-2212;	0.938;	-1;	1.4930068909642749;	0.8467544496224905;
-2212;	0.938;	-1;	1.9563490765873048;	0.9017113342188356;
-2212;	0.938;	-1;	6.645879095922675;	0.9901861191848325;
-2212;	0.938;	-1;	4.617777777116716;	0.9799867445841608;
-2212;	0.938;	-1;	4.13147945391781;	0.97518244382844;
-2212;	0.938;	-1;	2.0465953024486794;	0.9090686666858769;
-2212;	0.938;	-1;	3.0614841989394623;	0.9561290388875976;
-2212;	0.938;	-1;	5.920583965970612;	0.9876813384482376;
-2212;	0.938;	-1;	2.6951513896894546;	0.9444363222066666;
-2212;	0.938;	-1;	2.899998632917609;	0.9514670828309244;
-2212;	0.938;	-1;	6.655023689666627;	0.9902126765574099;
-2212;	0.938;	-1;	2.4694161130577004;	0.9348311032990083;
-2212;	0.938;	-1;	2.2429577580563125;	0.9225746289626269;
-2212;	0.938;	-1;	2.5101498510873808;	0.9367341859276485;
-2212;	0.938;	-1;	1.4636696691101991;	0.8419444137784935;
-2212;	0.938;	-1;	12.231178818871722;	0.9970722866620242;
-2212;	0.938;	-1;	0.8132526157679175;	0.6550773944836887;
-2212;	0.938;	-1;	1.1857727338360415;	0.7842829129560668;
-2212;	0.938;	-1;	1.4877977964024547;	0.8459152091410068;
-2212;	0.938;	-1;	2.9439010913964143;	0.9528037429434991;
-2212;	0.938;	-1;	3.2061914943784937;	0.9597694803072939;
-2212;	0.938;	-1;	3.1586563945671644;	0.958624185388914;
-2212;	0.938;	-1;	2.569671341087027;	0.9393730969311491;
-2212;	0.938;	-1;	4.4326251127949;	0.978334984301644;
-2212;	0.938;	-1;	7.812263104928623;	0.9928688916732855;
-2212;	0.938;	-1;	1.6374007072335715;	0.867707908342478;
-2212;	0.938;	-1;	1.2359642961161945;	0.7965758399277468;
-2212;	0.938;	-1;	1.0119722858122153;	0.7334033897153516;
-2212;	0.938;	-1;	2.0076111600419537;	0.9059902593824728;
-2212;	0.938;	-1;	1.9085137752439725;	0.8974641535592786;
-2212;	0.938;	-1;	1.818686160162055;	0.8887553999788734;
-2212;	0.938;	-1;	3.5735163463521475;	0.967234158581725;
-2212;	0.938;	-1;	7.644234376507516;	0.9925554774987628;
-2212;	0.938;	-1;	2.2278060129474917;	0.9216388645982023;
-2212;	0.938;	-1;	2.4292409120937344;	0.9328717468718185;
-2212;	0.938;	-1;	8.318728786135777;	0.993702844990124;
-2212;	0.938;	-1;	4.915758470316966;	0.9822773585533833;
-2212;	0.938;	-1;	1.6540694289455906;	0.8698655966580371;
-2212;	0.938;	-1;	5.792835115395242;	0.9871425726479673;
-2212;	0.938;	-1;	2.3070535975232564;	0.9263602019833063;
-2212;	0.938;	-1;	2.0468962895794207;	0.9090918709917872;
-2212;	0.938;	-1;	1.748492338719561;	0.881205492340691;
-2212;	0.938;	-1;	1.2286508197669506;	0.7948434617785142;
-2212;	0.938;	-1;	3.680095195025531;	0.9690185360394518;
-2212;	0.938;	-1;	6.351410725864373;	0.9892699634443564;
-2212;	0.938;	-1;	4.573441294320722;	0.9796086791343265;
-2212;	0.938;	-1;	3.9532233314449985;	0.9729858053211768;
-2212;	0.938;	-1;	3.0008240716951406;	0.9544580185208433;
-2212;	0.938;	-1;	2.8000016926839524;	0.9482081856248238;
-2212;	0.938;	-1;	3.598912022636841;	0.96767284878651;
-2212;	0.938;	-1;	4.284626825602435;	0.9768648840302675;
-2212;	0.938;	-1;	2.4766060592005745;	0.9351729981978067;
