# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49248
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.1944178287253586;	0.7864690271558559;
-2212;	0.938;	-1;	2.4808797476421547;	0.9353749888605262;
-2212;	0.938;	-1;	2.3575998777586262;	0.9291600459461897;
-2212;	0.938;	-1;	1.6109757462153178;	0.8641838983713036;
-2212;	0.938;	-1;	1.0388403358963543;	0.7422118793830432;
-2212;	0.938;	-1;	1.6521755747407598;	0.8696229288915035;
-2212;	0.938;	-1;	3.1448483488715318;	0.9582825217896894;
-2212;	0.938;	-1;	0.9009613690668208;	0.6927244093718856;
-2212;	0.938;	-1;	1.2932547572048594;	0.8094943309234551;
-2212;	0.938;	-1;	0.7557621202556793;	0.6274055617284862;
-2212;	0.938;	-1;	1.0516903070814145;	0.746293339810069;
-2212;	0.938;	-1;	1.3965173504352748;	0.8301280400716371;
-2212;	0.938;	-1;	0.26362662337100934;	0.2705687851228301;
-2212;	0.938;	-1;	1.2270655551296392;	0.7944653693045151;
-2212;	0.938;	-1;	0.3118237598676895;	0.3154601995591088;
-2212;	0.938;	-1;	2.2412308782996897;	0.9224687923201895;
-2212;	0.938;	-1;	0.8807360658341408;	0.6845039197587753;
-2212;	0.938;	-1;	1.591281398315207;	0.8614720088747835;
-2212;	0.938;	-1;	2.0429593001753608;	0.9087876829776322;
-2212;	0.938;	-1;	1.1928745608072124;	0.7860809269929198;
-2212;	0.938;	-1;	1.1807687714984676;	0.7830040435592757;
-2212;	0.938;	-1;	1.7566100489419958;	0.8821148509372755;
-2212;	0.938;	-1;	3.0808879492649517;	0.9566446025714032;
-2212;	0.938;	-1;	1.563514273759277;	0.8575191934532762;
-2212;	0.938;	-1;	0.5847767415672411;	0.5290401559191864;
-2212;	0.938;	-1;	1.361910664318699;	0.8235655463993095;
-2212;	0.938;	-1;	0.7712258291412186;	0.6350962533355088;
-2212;	0.938;	-1;	1.883280310743199;	0.8951181825461532;
-2212;	0.938;	-1;	1.3952922941681432;	0.8299014442695847;
-2212;	0.938;	-1;	2.166486709481736;	0.9176808920820051;
-2212;	0.938;	-1;	1.3379374226984608;	0.8188165885379344;
-2212;	0.938;	-1;	1.8507477786332744;	0.8919798483680492;
-2212;	0.938;	-1;	1.3781277176147355;	0.8266828779060691;
-2212;	0.938;	-1;	1.016285545649942;	0.7348429893313344;
-2212;	0.938;	-1;	3.0471460979344265;	0.9557422744742934;
-2212;	0.938;	-1;	1.650722250936238;	0.8694362797873078;
-2212;	0.938;	-1;	0.6628387028725842;	0.5771021310372161;
-2212;	0.938;	-1;	0.7818652420909885;	0.6402803648782897;
-2212;	0.938;	-1;	1.5108210906884376;	0.8495774272216028;
-2212;	0.938;	-1;	1.4886663512298517;	0.8460555808539096;
-2212;	0.938;	-1;	0.5740764019078297;	0.522015414802969;
-2212;	0.938;	-1;	0.8925588616165098;	0.6893414574358331;
-2212;	0.938;	-1;	1.0894947963772017;	0.757829357679996;
-2212;	0.938;	-1;	1.5283395882594288;	0.852284132059584;
-2212;	0.938;	-1;	0.713118805830417;	0.6052117272158006;
-2212;	0.938;	-1;	1.4407155849847708;	0.8380354221885135;
-2212;	0.938;	-1;	1.3694809408312334;	0.8250301293175307;
-2212;	0.938;	-1;	1.014098613720086;	0.7341143130987537;
-2212;	0.938;	-1;	0.40297867854887803;	0.39472903402466936;
-2212;	0.938;	-1;	0.2804965683635007;	0.2865011939594696;
-2212;	0.938;	-1;	0.7490494449614125;	0.6240087677178635;
