# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=164407828
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
1.6364158585330721;	1.645166745477099;	354846
1.645166745477099;	1.6539176324211262;	352719
1.6539176324211262;	1.6626685193651534;	353358
1.6626685193651534;	1.6714194063091805;	354097
1.6714194063091805;	1.6801702932532077;	354744
1.6801702932532077;	1.6889211801972348;	355224
1.6889211801972348;	1.697672067141262;	354604
1.697672067141262;	1.706422954085289;	354995
1.706422954085289;	1.7151738410293162;	355618
1.7151738410293162;	1.7239247279733432;	354738
1.7239247279733432;	1.7326756149173703;	356331
1.7326756149173703;	1.7414265018613975;	356681
1.7414265018613975;	1.7501773888054246;	356640
1.7501773888054246;	1.7589282757494518;	357520
1.7589282757494518;	1.767679162693479;	357928
1.767679162693479;	1.776430049637506;	358996
1.776430049637506;	1.7851809365815332;	358497
1.7851809365815332;	1.7939318235255604;	359548
1.7939318235255604;	1.8026827104695873;	358824
1.8026827104695873;	1.8114335974136144;	360827
1.8114335974136144;	1.8201844843576416;	361551
1.8201844843576416;	1.8289353713016687;	361338
1.8289353713016687;	1.8376862582456959;	361811
1.8376862582456959;	1.846437145189723;	361638
1.846437145189723;	1.8551880321337502;	362744
1.8551880321337502;	1.8639389190777773;	363770
1.8639389190777773;	1.8726898060218045;	365092
1.8726898060218045;	1.8814406929658314;	364694
1.8814406929658314;	1.8901915799098585;	367223
1.8901915799098585;	1.8989424668538857;	366704
1.8989424668538857;	1.9076933537979128;	366741
1.9076933537979128;	1.91644424074194;	368198
1.91644424074194;	1.9251951276859671;	370103
1.9251951276859671;	1.9339460146299943;	370120
1.9339460146299943;	1.9426969015740214;	371375
1.9426969015740214;	1.9514477885180486;	370433
1.9514477885180486;	1.9601986754620757;	372714
1.9601986754620757;	1.9689495624061026;	374203
1.9689495624061026;	1.9777004493501298;	374772
1.9777004493501298;	1.986451336294157;	375795
1.986451336294157;	1.995202223238184;	378047
1.995202223238184;	2.003953110182211;	378836
2.003953110182211;	2.012703997126238;	380641
2.012703997126238;	2.0214548840702653;	380128
2.0214548840702653;	2.0302057710142924;	382394
2.0302057710142924;	2.0389566579583196;	382636
2.0389566579583196;	2.0477075449023467;	384822
2.0477075449023467;	2.056458431846374;	384715
2.056458431846374;	2.065209318790401;	386309
2.065209318790401;	2.073960205734428;	388036
2.073960205734428;	2.0827110926784553;	389335
2.0827110926784553;	2.0914619796224825;	389775
2.0914619796224825;	2.1002128665665096;	393156
2.1002128665665096;	2.1089637535105368;	393531
2.1089637535105368;	2.117714640454564;	394483
2.117714640454564;	2.126465527398591;	396008
2.126465527398591;	2.135216414342618;	397656
2.135216414342618;	2.1439673012866454;	399330
2.1439673012866454;	2.1527181882306725;	400945
2.1527181882306725;	2.161469075174699;	402517
2.161469075174699;	2.1702199621187264;	402926
2.1702199621187264;	2.1789708490627535;	406120
2.1789708490627535;	2.1877217360067807;	408099
2.1877217360067807;	2.196472622950808;	410043
2.196472622950808;	2.205223509894835;	409027
2.205223509894835;	2.213974396838862;	413066
2.213974396838862;	2.2227252837828892;	413798
2.2227252837828892;	2.2314761707269164;	415925
2.2314761707269164;	2.2402270576709435;	417561
2.2402270576709435;	2.2489779446149707;	419764
2.2489779446149707;	2.257728831558998;	421170
2.257728831558998;	2.266479718503025;	422355
2.266479718503025;	2.275230605447052;	424890
2.275230605447052;	2.2839814923910793;	427049
2.2839814923910793;	2.2927323793351064;	428769
2.2927323793351064;	2.3014832662791336;	432046
2.3014832662791336;	2.3102341532231607;	431563
2.3102341532231607;	2.318985040167188;	435321
2.318985040167188;	2.3277359271112146;	438107
2.3277359271112146;	2.3364868140552417;	438272
2.3364868140552417;	2.345237700999269;	442786
2.345237700999269;	2.353988587943296;	444915
2.353988587943296;	2.362739474887323;	446488
2.362739474887323;	2.3714903618313503;	448041
2.3714903618313503;	2.3802412487753775;	452340
2.3802412487753775;	2.3889921357194046;	454856
2.3889921357194046;	2.3977430226634318;	455107
2.3977430226634318;	2.406493909607459;	458689
2.406493909607459;	2.415244796551486;	461710
2.415244796551486;	2.423995683495513;	463004
2.423995683495513;	2.4327465704395403;	466264
2.4327465704395403;	2.4414974573835675;	468540
2.4414974573835675;	2.4502483443275946;	470807
2.4502483443275946;	2.458999231271622;	474399
2.458999231271622;	2.467750118215649;	475110
2.467750118215649;	2.476501005159676;	478533
2.476501005159676;	2.485251892103703;	482062
2.485251892103703;	2.49400277904773;	484144
2.49400277904773;	2.502753665991757;	488444
2.502753665991757;	2.5115045529357842;	489835
2.5115045529357842;	2.5202554398798114;	491641
2.5202554398798114;	2.5290063268238385;	495171
2.5290063268238385;	2.5377572137678657;	498635
2.5377572137678657;	2.546508100711893;	502962
2.546508100711893;	2.55525898765592;	505200
2.55525898765592;	2.564009874599947;	508193
2.564009874599947;	2.5727607615439743;	509976
2.5727607615439743;	2.5815116484880014;	514279
2.5815116484880014;	2.5902625354320286;	515425
2.5902625354320286;	2.5990134223760557;	518125
2.5990134223760557;	2.607764309320083;	522924
2.607764309320083;	2.61651519626411;	526512
2.61651519626411;	2.625266083208137;	528220
2.625266083208137;	2.6340169701521643;	531225
2.6340169701521643;	2.642767857096191;	534069
2.642767857096191;	2.651518744040218;	539837
2.651518744040218;	2.6602696309842453;	541314
2.6602696309842453;	2.6690205179282724;	543804
2.6690205179282724;	2.6777714048722996;	546382
2.6777714048722996;	2.6865222918163267;	550048
2.6865222918163267;	2.695273178760354;	553323
2.695273178760354;	2.704024065704381;	555754
2.704024065704381;	2.712774952648408;	557885
2.712774952648408;	2.7215258395924353;	561320
2.7215258395924353;	2.7302767265364625;	564462
2.7302767265364625;	2.7390276134804896;	566274
2.7390276134804896;	2.7477785004245168;	571376
2.7477785004245168;	2.756529387368544;	572874
2.756529387368544;	2.765280274312571;	575102
2.765280274312571;	2.774031161256598;	576649
2.774031161256598;	2.7827820482006254;	579855
2.7827820482006254;	2.7915329351446525;	582265
2.7915329351446525;	2.800283822088679;	584940
2.800283822088679;	2.8090347090327064;	588646
2.8090347090327064;	2.8177855959767335;	589047
2.8177855959767335;	2.8265364829207607;	591537
2.8265364829207607;	2.835287369864788;	591471
2.835287369864788;	2.844038256808815;	592692
2.844038256808815;	2.852789143752842;	595547
2.852789143752842;	2.8615400306968692;	597298
2.8615400306968692;	2.8702909176408964;	597531
2.8702909176408964;	2.8790418045849235;	597907
2.8790418045849235;	2.8877926915289507;	598563
2.8877926915289507;	2.896543578472978;	598296
2.896543578472978;	2.905294465417005;	596428
2.905294465417005;	2.914045352361032;	596510
2.914045352361032;	2.9227962393050593;	593843
2.9227962393050593;	2.9315471262490864;	593782
2.9315471262490864;	2.9402980131931136;	589742
2.9402980131931136;	2.9490489001371407;	587344
2.9490489001371407;	2.957799787081168;	583820
2.957799787081168;	2.9665506740251946;	580419
2.9665506740251946;	2.9753015609692217;	575763
2.9753015609692217;	2.984052447913249;	570096
2.984052447913249;	2.992803334857276;	565934
2.992803334857276;	3.001554221801303;	558022
3.001554221801303;	3.0103051087453303;	553560
3.0103051087453303;	3.0190559956893575;	542596
3.0190559956893575;	3.0278068826333846;	534012
3.0278068826333846;	3.0365577695774117;	526170
3.0365577695774117;	3.045308656521439;	516257
3.045308656521439;	3.054059543465466;	505918
3.054059543465466;	3.062810430409493;	496078
3.062810430409493;	3.0715613173535203;	488146
3.0715613173535203;	3.0803122042975475;	492759
3.0803122042975475;	3.0890630912415746;	520878
3.0890630912415746;	3.097813978185602;	573813
3.097813978185602;	3.106564865129629;	637322
3.106564865129629;	3.115315752073656;	684943
3.115315752073656;	3.124066639017683;	619469
3.124066639017683;	3.13281752596171;	482387
3.13281752596171;	3.141568412905737;	303762
3.141568412905737;	3.150319299849764;	103178
