# hega-rs ver.0.2.9 distribution : N(Theta_p); total-items=159774877
 lbin;	 rbin;	 value
#UrQmdF19 in Lab: false
2.49400277904773;	2.502753665991757;	467690
2.502753665991757;	2.5115045529357842;	469437
2.5115045529357842;	2.5202554398798114;	472878
2.5202554398798114;	2.5290063268238385;	476111
2.5290063268238385;	2.5377572137678657;	479271
2.5377572137678657;	2.546508100711893;	482461
2.546508100711893;	2.55525898765592;	484676
2.55525898765592;	2.564009874599947;	486587
2.564009874599947;	2.5727607615439743;	489476
2.5727607615439743;	2.5815116484880014;	493468
2.5815116484880014;	2.5902625354320286;	495542
2.5902625354320286;	2.5990134223760557;	500398
2.5990134223760557;	2.607764309320083;	501321
2.607764309320083;	2.61651519626411;	505055
2.61651519626411;	2.625266083208137;	508227
2.625266083208137;	2.6340169701521643;	509495
2.6340169701521643;	2.642767857096191;	513289
2.642767857096191;	2.651518744040218;	516646
2.651518744040218;	2.6602696309842453;	519866
2.6602696309842453;	2.6690205179282724;	522637
2.6690205179282724;	2.6777714048722996;	525713
2.6777714048722996;	2.6865222918163267;	528691
2.6865222918163267;	2.695273178760354;	531229
2.695273178760354;	2.704024065704381;	534535
2.704024065704381;	2.712774952648408;	535760
2.712774952648408;	2.7215258395924353;	539050
2.7215258395924353;	2.7302767265364625;	541630
2.7302767265364625;	2.7390276134804896;	546060
2.7390276134804896;	2.7477785004245168;	547592
2.7477785004245168;	2.756529387368544;	551569
2.756529387368544;	2.765280274312571;	553360
2.765280274312571;	2.774031161256598;	555722
2.774031161256598;	2.7827820482006254;	558780
2.7827820482006254;	2.7915329351446525;	560902
2.7915329351446525;	2.800283822088679;	563323
2.800283822088679;	2.8090347090327064;	565298
2.8090347090327064;	2.8177855959767335;	567019
2.8177855959767335;	2.8265364829207607;	569181
2.8265364829207607;	2.835287369864788;	572264
2.835287369864788;	2.844038256808815;	571380
2.844038256808815;	2.852789143752842;	574787
2.852789143752842;	2.8615400306968692;	574148
2.8615400306968692;	2.8702909176408964;	575980
2.8702909176408964;	2.8790418045849235;	577868
2.8790418045849235;	2.8877926915289507;	575796
2.8877926915289507;	2.896543578472978;	575496
2.896543578472978;	2.905294465417005;	575907
2.905294465417005;	2.914045352361032;	575954
2.914045352361032;	2.9227962393050593;	574078
2.9227962393050593;	2.9315471262490864;	572171
2.9315471262490864;	2.9402980131931136;	570659
2.9402980131931136;	2.9490489001371407;	568149
2.9490489001371407;	2.957799787081168;	564501
2.957799787081168;	2.9665506740251946;	562458
2.9665506740251946;	2.9753015609692217;	557136
2.9753015609692217;	2.984052447913249;	551745
2.984052447913249;	2.992803334857276;	547394
2.992803334857276;	3.001554221801303;	540017
3.001554221801303;	3.0103051087453303;	534730
3.0103051087453303;	3.0190559956893575;	528157
3.0190559956893575;	3.0278068826333846;	519029
3.0278068826333846;	3.0365577695774117;	509317
3.0365577695774117;	3.045308656521439;	500948
3.045308656521439;	3.054059543465466;	490748
3.054059543465466;	3.062810430409493;	481843
3.062810430409493;	3.0715613173535203;	475557
3.0715613173535203;	3.0803122042975475;	485915
3.0803122042975475;	3.0890630912415746;	530717
3.0890630912415746;	3.097813978185602;	614111
3.097813978185602;	3.106564865129629;	724788
3.106564865129629;	3.115315752073656;	821084
3.115315752073656;	3.124066639017683;	781142
3.124066639017683;	3.13281752596171;	641777
3.13281752596171;	3.141568412905737;	431327
3.141568412905737;	3.150319299849764;	163619
